#jbar theta B
3 0.0 723.3564142
3 0.1 723.3546219
3 0.2 723.3492451
3 0.3 723.3402839
3 0.4 723.3277384
3 0.5 723.3116086
3 0.6 723.2918948
3 0.7 723.2685972
3 0.8 723.2417159
3 0.9 723.2112514
3 1.0 723.1772039
3 1.1 723.1395738
3 1.2 723.0983615
3 1.3 723.0535674
3 1.4 723.0051921
3 1.5 722.9532360
3 1.6 722.8976996
3 1.7 722.8385837
3 1.8 722.7758887
3 1.9 722.7096154
3 2.0 722.6397645
3 2.1 722.5663368
3 2.2 722.4893329
3 2.3 722.4087538
3 2.4 722.3246003
3 2.5 722.2368733
3 2.6 722.1455737
3 2.7 722.0507026
3 2.8 721.9522608
3 2.9 721.8502496
3 3.0 721.7446698
3 3.1 721.6355228
3 3.2 721.5228097
3 3.3 721.4065315
3 3.4 721.2866897
3 3.5 721.1632855
3 3.6 721.0363202
3 3.7 720.9057951
3 3.8 720.7717117
3 3.9 720.6340713
3 4.0 720.4928755
3 4.1 720.3481257
3 4.2 720.1998236
3 4.3 720.0479706
3 4.4 719.8925684
3 4.5 719.7336187
3 4.6 719.5711232
3 4.7 719.4050835
3 4.8 719.2355015
3 4.9 719.0623790
3 5.0 718.8857178
3 5.1 718.7055199
3 5.2 718.5217870
3 5.3 718.3345213
3 5.4 718.1437246
3 5.5 717.9493991
3 5.6 717.7515468
3 5.7 717.5501698
3 5.8 717.3452702
3 5.9 717.1368503
3 6.0 716.9249123
3 6.1 716.7094584
3 6.2 716.4904910
3 6.3 716.2680123
3 6.4 716.0420248
3 6.5 715.8125309
3 6.6 715.5795329
3 6.7 715.3430335
3 6.8 715.1030350
3 6.9 714.8595402
3 7.0 714.6125515
3 7.1 714.3620716
3 7.2 714.1081032
3 7.3 713.8506490
3 7.4 713.5897118
3 7.5 713.3252943
3 7.6 713.0573993
3 7.7 712.7860297
3 7.8 712.5111884
3 7.9 712.2328784
3 8.0 711.9511025
3 8.1 711.6658639
3 8.2 711.3771655
3 8.3 711.0850104
3 8.4 710.7894018
3 8.5 710.4903427
3 8.6 710.1878365
3 8.7 709.8818862
3 8.8 709.5724953
3 8.9 709.2596669
3 9.0 708.9434044
3 9.1 708.6237112
3 9.2 708.3005906
3 9.3 707.9740463
3 9.4 707.6440815
3 9.5 707.3106999
3 9.6 706.9739049
3 9.7 706.6337002
3 9.8 706.2900895
3 9.9 705.9430763
3 10.0 705.5926644
3 10.1 705.2388575
3 10.2 704.8816593
3 10.3 704.5210738
3 10.4 704.1571046
3 10.5 703.7897558
3 10.6 703.4190312
3 10.7 703.0449347
3 10.8 702.6674705
3 10.9 702.2866424
3 11.0 701.9024545
3 11.1 701.5149110
3 11.2 701.1240159
3 11.3 700.7297735
3 11.4 700.3321878
3 11.5 699.9312633
3 11.6 699.5270041
3 11.7 699.1194145
3 11.8 698.7084989
3 11.9 698.2942616
3 12.0 697.8767072
3 12.1 697.4558399
3 12.2 697.0316644
3 12.3 696.6041850
3 12.4 696.1734065
3 12.5 695.7393333
3 12.6 695.3019700
3 12.7 694.8613215
3 12.8 694.4173922
3 12.9 693.9701870
3 13.0 693.5197106
3 13.1 693.0659679
3 13.2 692.6089635
3 13.3 692.1487025
3 13.4 691.6851897
3 13.5 691.2184300
3 13.6 690.7484285
3 13.7 690.2751900
3 13.8 689.7987197
3 13.9 689.3190226
3 14.0 688.8361039
3 14.1 688.3499686
3 14.2 687.8606219
3 14.3 687.3680691
3 14.4 686.8723154
3 14.5 686.3733660
3 14.6 685.8712263
3 14.7 685.3659015
3 14.8 684.8573972
3 14.9 684.3457186
3 15.0 683.8308713
3 15.1 683.3128607
3 15.2 682.7916923
3 15.3 682.2673716
3 15.4 681.7399043
