 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
    5   1251.0665      6.1404    1.174337E+02
    6     97.2228     11.3470    1.078528E+01
    7    282.7361     15.3465    3.619031E+01
    8     47.7680     18.9274    6.929562E+00
    9    131.6839     22.2989    2.135040E+01
   10     34.6465     25.5510    6.208669E+00
   11     83.8965     28.7312    1.646613E+01
   12     32.7135     31.8681    6.978898E+00
   13     58.2142     34.9806    1.341259E+01
   14     24.2152     38.0824    5.992470E+00
   15     43.0028     41.1838    1.137570E+01
   16     20.4797     44.2931    5.767098E+00
   17     33.5871     47.4175    1.003137E+01
   18     16.8874     50.5634    5.331929E+00
   19     27.6220     53.7369    9.192625E+00
   20     14.4944     56.9437    5.071120E+00
   21     23.7837     60.1896    8.727055E+00
   22     13.1727     63.4808    5.058330E+00
   23     20.4469     66.8237    8.200591E+00
   24     12.2623     70.2251    5.127289E+00
   25     18.6007     73.6928    8.095045E+00
   26     11.1558     77.2353    5.045409E+00
   27     15.6691     80.8624    7.354050E+00
   28      9.5592     84.5853    4.649607E+00
   29     13.8683     88.4174    6.982245E+00
   30      9.4844     92.3743    4.936959E+00
   31     12.8653     96.4753    6.916403E+00
   32      9.2748    100.7442    5.144435E+00
   33     12.0061    105.2110    6.864305E+00
   34      8.2252    109.9151    4.843010E+00
   35     11.8200    114.9092    7.161362E+00
   36      8.6483    120.2674    5.387328E+00
   37     13.2505    126.0997    8.480342E+00
   38      8.5538    132.5825    5.620431E+00
   39     14.8367    140.0327    1.000194E+01
   40      8.6783    149.1455    5.998456E+00
   41     24.6100    162.3327    1.743049E+01
