# alpha	alpha^2	B*sin(alpha)
0.000000	0.000000	0.000000
0.100000	0.010000	0.956098
0.200000	0.040000	1.910698
0.300000	0.090000	2.862304
0.400000	0.160000	3.809428
0.500000	0.250000	4.750597
0.600000	0.360000	5.684351
0.700000	0.490000	6.609251
0.800000	0.640000	7.523882
0.900000	0.810000	8.426854
1.000000	1.000000	9.316811
1.100000	1.210000	10.192430
1.200000	1.440000	11.052427
1.300000	1.690000	11.895559
1.400000	1.960000	12.720626
1.500000	2.250000	13.526480
1.600000	2.560000	14.312019
1.700000	2.890000	15.076197
1.800000	3.240000	15.818025
1.900000	3.610000	16.536570
2.000000	4.000000	17.230961
2.100000	4.410000	17.900391
2.200000	4.840000	18.544117
2.300000	5.290000	19.161462
2.400000	5.760000	19.751819
2.500000	6.250000	20.314648
2.600000	6.760000	20.849481
2.700000	7.290000	21.355921
2.800000	7.840000	21.833644
2.900000	8.410000	22.282397
3.000000	9.000000	22.702000
3.100000	9.610000	23.092348
3.200000	10.240000	23.453406
3.300000	10.890000	23.785212
3.400000	11.560000	24.087877
3.500000	12.250000	24.361581
3.600000	12.960000	24.606575
3.700000	13.690000	24.823177
3.800000	14.440000	25.011775
3.900000	15.210000	25.172820
4.000000	16.000000	25.306827
4.100000	16.810000	25.414374
4.200000	17.640000	25.496098
4.300000	18.490000	25.552692
4.400000	19.360000	25.584907
4.500000	20.250000	25.593544
4.600000	21.160000	25.579452
4.700000	22.090000	25.543530
4.800000	23.040000	25.486718
4.900000	24.010000	25.409996
5.000000	25.000000	25.314384
5.100000	26.010000	25.200933
5.200000	27.040000	25.070725
5.300000	28.090000	24.924871
5.400000	29.160000	24.764503
5.500000	30.250000	24.590773
5.600000	31.360000	24.404851
5.700000	32.490000	24.207918
5.800000	33.640000	24.001164
5.900000	34.810000	23.785786
6.000000	36.000000	23.562981
6.100000	37.210000	23.333946
6.200000	38.440000	23.099869
6.300000	39.690000	22.861932
6.400000	40.960000	22.621305
6.500000	42.250000	22.379140
6.600000	43.560000	22.136571
6.700000	44.890000	21.894709
6.800000	46.240000	21.654642
6.900000	47.610000	21.417425
7.000000	49.000000	21.184085
7.100000	50.410000	20.955614
7.200000	51.840000	20.732967
7.300000	53.290000	20.517059
7.400000	54.760000	20.308765
7.500000	56.250000	20.108913
7.600000	57.760000	19.918288
7.700000	59.290000	19.737627
7.800000	60.840000	19.567615
7.900000	62.410000	19.408888
8.000000	64.000000	19.262029
8.100000	65.610000	19.127567
8.200000	67.240000	19.005978
8.300000	68.890000	18.897681
8.400000	70.560000	18.803039
8.500000	72.250000	18.722360
8.600000	73.960000	18.655894
8.700000	75.690000	18.603836
8.800000	77.440000	18.566322
8.900000	79.210000	18.543433
9.000000	81.000000	18.535196
9.100000	82.810000	18.541582
9.200000	84.640000	18.562505
9.300000	86.490000	18.597832
9.400000	88.360000	18.647372
9.500000	90.250000	18.710887
9.600000	92.160000	18.788089
9.700000	94.090000	18.878644
9.800000	96.040000	18.982172
9.900000	98.010000	19.098247
10.000000	100.000000	19.226405
10.100000	102.010000	19.366141
10.200000	104.040000	19.516914
10.300000	106.090000	19.678147
10.400000	108.160000	19.849233
10.500000	110.250000	20.029534
10.600000	112.360000	20.218385
10.700000	114.490000	20.415099
10.800000	116.640000	20.618966
10.900000	118.810000	20.829256
11.000000	121.000000	21.045228
11.100000	123.210000	21.266124
11.200000	125.440000	21.491178
11.300000	127.690000	21.719617
11.400000	129.960000	21.950662
11.500000	132.250000	22.183537
11.600000	134.560000	22.417463
11.700000	136.890000	22.651669
11.800000	139.240000	22.885389
11.900000	141.610000	23.117867
12.000000	144.000000	23.348362
12.100000	146.410000	23.576145
12.200000	148.840000	23.800506
12.300000	151.290000	24.020757
12.400000	153.760000	24.236228
12.500000	156.250000	24.446278
12.600000	158.760000	24.650289
12.700000	161.290000	24.847674
12.800000	163.840000	25.037876
12.900000	166.410000	25.220370
13.000000	169.000000	25.394664
13.100000	171.610000	25.560302
13.200000	174.240000	25.716865
13.300000	176.890000	25.863971
13.400000	179.560000	26.001276
13.500000	182.250000	26.128477
13.600000	184.960000	26.245311
13.700000	187.690000	26.351554
13.800000	190.440000	26.447026
13.900000	193.210000	26.531586
14.000000	196.000000	26.605136
14.100000	198.810000	26.667618
14.200000	201.640000	26.719018
14.300000	204.490000	26.759360
14.400000	207.360000	26.788709
14.500000	210.250000	26.807170
14.600000	213.160000	26.814887
14.700000	216.090000	26.812041
14.800000	219.040000	26.798852
14.900000	222.010000	26.775573
15.000000	225.000000	26.742492
15.100000	228.010000	26.699931
15.200000	231.040000	26.648241
15.300000	234.090000	26.587806
15.400000	237.160000	26.519034
15.500000	240.250000	26.442362
15.600000	243.360000	26.358249
15.700000	246.490000	26.267177
15.800000	249.640000	26.169648
15.900000	252.810000	26.066181
16.000000	256.000000	25.957313
16.100000	259.210000	25.843591
16.200000	262.440000	25.725576
16.300000	265.690000	25.603837
16.400000	268.960000	25.478948
16.500000	272.250000	25.351490
16.600000	275.560000	25.222044
16.700000	278.890000	25.091191
16.800000	282.240000	24.959512
16.900000	285.610000	24.827578
17.000000	289.000000	24.695959
17.100000	292.410000	24.565210
17.200000	295.840000	24.435879
17.300000	299.290000	24.308499
17.400000	302.760000	24.183587
17.500000	306.250000	24.061645
17.600000	309.760000	23.943153
17.700000	313.290000	23.828571
17.800000	316.840000	23.718338
17.900000	320.410000	23.612868
18.000000	324.000000	23.512549
18.100000	327.610000	23.417742
18.200000	331.240000	23.328780
18.300000	334.890000	23.245968
18.400000	338.560000	23.169580
18.500000	342.250000	23.099857
18.600000	345.960000	23.037011
18.700000	349.690000	22.981221
18.800000	353.440000	22.932630
18.900000	357.210000	22.891353
19.000000	361.000000	22.857465
19.100000	364.810000	22.831014
19.200000	368.640000	22.812009
19.300000	372.490000	22.800428
19.400000	376.360000	22.796215
19.500000	380.250000	22.799283
19.600000	384.160000	22.809511
19.700000	388.090000	22.826746
19.800000	392.040000	22.850806
19.900000	396.010000	22.881478
20.000000	400.000000	22.918521
20.100000	404.010000	22.961665
