#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 11 85.169978 48.056103 2309.389034 85.002053 42.538946 1809.561907 0.167925 5.51716 499.827
2 12 81.470751 47.975663 2301.664245 81.434819 44.377076 1969.324910 0.035932 3.59859 332.339
3 13 78.982006 47.441325 2250.679339 79.035302 44.945433 2020.091973 -0.053296 2.49589 230.587
4 14 76.081510 47.411680 2247.867401 76.151401 45.480190 2068.447697 -0.069891 1.93149 179.42
5 15 74.432811 46.864742 2196.304059 74.526046 45.360338 2057.560298 -0.093235 1.5044 138.744
6 16 73.493439 47.346192 2241.661856 73.558334 46.063382 2121.835200 -0.064895 1.28281 119.827
7 17 71.915280 47.030587 2211.876110 71.990123 45.957865 2112.125325 -0.074843 1.07272 99.7508
8 18 70.642261 47.790269 2283.909792 70.697188 46.824864 2192.567877 -0.054927 0.965405 91.3419
9 19 69.658561 47.810651 2285.858305 69.707006 46.947045 2204.025056 -0.048445 0.863606 81.8332
10 20 67.671664 47.845737 2289.214542 67.731687 47.076611 2216.207340 -0.060023 0.769126 73.0072
11 21 67.053097 47.833772 2288.069732 67.100573 47.135531 2221.758306 -0.047476 0.698241 66.3114
12 22 66.480550 48.208971 2324.104853 66.525130 47.561267 2262.074164 -0.04458 0.647704 62.0307
13 23 65.898387 48.150629 2318.483070 65.934294 47.558627 2261.823034 -0.035907 0.592002 56.66
14 24 64.917420 48.675101 2369.265424 64.959173 48.124146 2315.933430 -0.041753 0.550955 53.332
15 25 64.277872 48.091699 2312.811530 64.318232 47.588279 2264.644322 -0.04036 0.50342 48.1672
16 26 63.963331 48.823181 2383.702962 63.992656 48.341760 2336.925734 -0.029325 0.481421 46.7772
17 27 62.706809 47.202002 2228.028988 62.746593 46.778077 2188.188450 -0.039784 0.423925 39.8405
18 28 62.872184 48.393319 2341.913312 62.906131 47.981249 2302.200252 -0.033947 0.41207 39.7131
19 29 61.958938 46.892753 2198.930286 61.994197 46.517764 2163.902332 -0.035259 0.374989 35.028
20 30 61.352437 47.840420 2288.705801 61.383938 47.473610 2253.743600 -0.031501 0.36681 34.9622
21 31 60.012682 47.319526 2239.137558 60.046507 46.972185 2206.386194 -0.033825 0.347341 32.7514
22 32 60.262806 47.642295 2269.788265 60.287329 47.309850 2238.221926 -0.024523 0.332445 31.5663
23 33 58.639454 46.602671 2171.808989 58.670297 46.290544 2142.814427 -0.030843 0.312127 28.9946
24 34 56.504507 46.348945 2148.224731 56.545169 46.054294 2120.998029 -0.040662 0.294651 27.2267
25 35 55.384312 45.706836 2089.114889 55.424763 45.430550 2063.934838 -0.040451 0.276286 25.1801
26 36 56.386926 46.364772 2149.692100 56.429635 46.093951 2124.652299 -0.042709 0.270821 25.0398
27 37 52.980309 44.746520 2002.251076 53.019766 44.494139 1979.728368 -0.039457 0.252381 22.5227
28 38 48.842126 43.853608 1923.138907 48.903930 43.614901 1902.259607 -0.061804 0.238707 20.8793
29 39 53.131137 42.969353 1846.365336 53.173705 42.781348 1830.243733 -0.042568 0.188005 16.1216
30 40 53.953881 44.275569 1960.326025 54.002454 44.093177 1944.208277 -0.048573 0.182392 16.1177
