j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
1 12 6.5 2.39456 42.6099 40.215341891900152 41.006314817052377 4.100631E+01 27.1469
2 13 7.5 6.43871 32.0788 25.640091869495603 37.300674515916150 3.730058E+01 23.7536
3 14 8.5 7.75839 26.3084 18.550007647972450 36.231668040369236 3.623140E+01 21.1143
4 15 9.5 7.50995 22.5178 15.007854555025904 34.323499233518476 3.432349E+01 19.0029
5 16 10.5 7.09028 19.7856 12.695321993571715 34.009500889877401 3.400950E+01 17.2753
6 17 11.5 6.81885 17.7001 10.881249488656895 31.909059330948555 3.190897E+01 15.8357
7 18 12.5 6.58454 16.0446 9.4600558906759780 31.290773714202455 3.129024E+01 14.6176
8 19 13.5 6.14354 14.6923 8.5487568337722060 30.940113167580066 3.093916E+01 13.5735
9 20 14.5 5.86415 13.5634 7.6992510269129699 30.471087143906360 3.047109E+01 12.6686
10 21 15.5 5.51592 12.6044 7.0884782397891772 29.673795491489436 2.967372E+01 11.8768
11 22 16.5 5.38723 11.7782 6.3909658750889875 28.433881712327921 2.843383E+01 11.1782
12 23 17.5 5.05522 11.0582 6.0029803992904833 28.187030927589671 2.818702E+01 10.5571
13 24 18.5 4.83645 10.4243 5.5878466005453475 27.497503905008269 2.749739E+01 10.0015
14 25 19.5 4.59965 9.8617 5.2620500554698282 26.971713389463364 2.697046E+01 9.50143
15 26 20.5 4.33806 9.3585 5.0204437766531722 27.335191703015006 2.733478E+01 9.04898
16 27 21.5 4.14467 8.9056 4.7609335119105634 25.902260896295331 2.590074E+01 8.63766
17 28 22.5 4.0076 8.4956 4.4879990430885641 25.593707575883201 2.559354E+01 8.26211
18 29 23.5 3.88308 8.1227 4.2396187466560589 25.314512558207486 2.531250E+01 7.91786
19 30 24.5 3.60352 7.7818 4.1782818862630862 25.405780545000688 2.540520E+01 7.60114
20 31 25.5 3.45473 7.4689 4.0141683852424608 24.220920955466095 2.422066E+01 7.30879
21 32 26.5 3.29597 7.1808 3.8848348767177834 25.894505816638791 2.589418E+01 7.0381
22 33 27.5 3.14068 6.9144 3.7737242832919260 24.835574520024711 2.483459E+01 6.78674
23 34 28.5 3.01604 6.6674 3.6513552854802991 23.776901109911513 2.377353E+01 6.55271
24 35 29.5 3.01608 6.4377 3.4216190927679553 24.981397180008933 2.498054E+01 6.33429
25 36 30.5 2.78276 6.2235 3.4407447041118888 27.078582770292993 2.707533E+01 6.12996
26 37 31.5 2.7154 6.0233 3.3079013579013496 26.232530547668727 2.623241E+01 5.93839
27 38 32.5 2.86173 5.8358 2.9740693908913811 25.783009955387772 2.578128E+01 5.75844
28 39 33.5 2.91461 5.6597 2.7450880047754520 21.381212179007218 2.137577E+01 5.58908
29 40 34.5 2.90035 5.4941 2.5937481781260514 31.169723337559713 3.116955E+01 5.42939
