 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
    9    583.9345      4.8100    4.088498E+01
   10     46.7824      8.6452    3.620328E+00
   11    235.9815     11.4743    2.000101E+01
   12     43.1317     13.9264    3.973586E+00
   13    143.8335     16.1753    1.431100E+01
   14     38.3845     18.2978    4.102041E+00
   15     99.0717     20.3349    1.131768E+01
   16     33.7525     22.3116    4.104554E+00
   17     73.0965     24.2440    9.427807E+00
   18     27.6096     26.1436    3.764505E+00
   19     55.3838     28.0184    7.959640E+00
   20     24.6964     29.8748    3.731329E+00
   21     40.8427     31.7173    6.471858E+00
   22     21.9942     33.5500    3.647260E+00
   23     32.4333     35.3759    5.617396E+00
   24     19.2465     37.1976    3.475313E+00
   25     26.1419     39.0174    4.913075E+00
   26     17.2554     40.8372    3.370132E+00
   27     21.2855     42.6588    4.314124E+00
   28     15.6504     44.4837    3.287353E+00
   29     17.3105     46.3134    3.763637E+00
   30     14.9193     48.1492    3.353701E+00
   31     14.8573     49.9924    3.449265E+00
   32     13.8413     51.8443    3.315403E+00
   33     13.1411     53.7060    3.244536E+00
   34     12.3350     55.5788    3.136421E+00
   35     11.2755     57.4638    2.950124E+00
   36     11.3320     59.3623    3.048425E+00
   37     10.0355     61.2755    2.773616E+00
   38     10.4483     63.2046    2.964711E+00
   39      9.1342     65.1509    2.659155E+00
   40      9.5059     67.1158    2.837425E+00
   41      8.2075     69.1008    2.510354E+00
   42      8.8450     71.1073    2.770530E+00
   43      7.7639     73.1370    2.489117E+00
   44      8.0332     75.1916    2.634660E+00
   45      7.5370     77.2729    2.527470E+00
   46      7.4307     79.3830    2.546588E+00
   47      7.3165     81.5241    2.561374E+00
   48      7.1412     83.6984    2.552637E+00
   49      7.1465     85.9088    2.607202E+00
   50      6.9432     88.1579    2.584206E+00
   51      6.9916     90.4492    2.653749E+00
   52      6.8004     92.7862    2.631297E+00
   53      7.3151     95.1729    2.884364E+00
   54      6.4396     97.6140    2.586613E+00
   55      7.0245    100.1147    2.873323E+00
   56      5.8909    102.6810    2.453049E+00
   57      6.0339    105.3201    2.557066E+00
   58      5.7771    108.0402    2.490817E+00
   59      5.5375    110.8511    2.428325E+00
   60      5.5584    113.7647    2.478456E+00
   61      5.7141    116.7954    2.589996E+00
   62      5.6409    119.9613    2.598391E+00
   63      6.1661    123.2853    2.885761E+00
   64      4.9092    126.7972    2.333708E+00
   65      4.8318    130.5375    2.332525E+00
   66      4.1481    134.5627    2.033045E+00
   67      4.5704    138.9572    2.273705E+00
   68      3.2443    143.8554    1.637901E+00
   69      6.2125    149.4999    3.182199E+00
   70      2.0089    156.4209    1.043815E+00
   71     14.0073    166.4520    7.381363E+00
