#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 4 65.264063 47.501929 2256.433221 64.426144 nan nan 0 0 0
2 5 55.612233 45.916106 2108.288773 55.515547 nan nan 0 0 0
3 6 50.582244 45.492029 2069.524742 50.451491 nan nan 0 0 0
4 7 47.154752 44.854959 2011.967319 46.899067 11.945751 142.700971 0 0 0
5 8 45.357186 45.364534 2057.940906 44.759514 21.171495 448.232213 0 0 0
6 9 43.730489 45.037143 2028.344262 42.929005 24.991377 624.568906 0 0 0
7 10 42.637902 45.179197 2041.159799 41.615014 27.619416 762.832127 0 0 0
8 11 41.288821 44.848467 2011.384992 40.130556 29.021278 842.234559 0 0 0
9 12 41.125390 45.501788 2070.412718 39.652625 30.717678 943.575736 0 0 0
10 13 40.228662 45.433514 2064.204231 38.611482 31.543286 994.978862 0 0 0
11 14 39.499046 45.198296 2042.885954 37.826890 32.162181 1034.405860 0 0 0
12 15 38.276654 44.637134 1992.473694 36.627990 32.356562 1046.947078 0 0 0
13 16 37.358023 44.234737 1956.711997 35.706133 32.533559 1058.432492 0 0 0
14 17 36.864738 44.140063 1948.345136 35.128174 32.831636 1077.916325 0 0 0
15 18 36.471804 44.266760 1959.546006 34.599981 33.160544 1099.621711 0 0 0
16 19 36.195138 44.317485 1964.039500 34.212741 33.424170 1117.175155 0 0 0
17 20 35.762625 44.038731 1939.409837 33.758138 33.476680 1120.688085 0 0 0
18 21 34.867340 43.629788 1903.558373 32.886012 33.321466 1110.320130 0 0 0
19 22 34.569100 43.413889 1884.765765 32.557099 33.353541 1112.458711 0 0 0
20 23 34.320095 43.175706 1864.141557 32.293160 33.365692 1113.269372 0 0 0
21 24 33.983890 42.962491 1845.775659 31.941801 33.376956 1114.021225 0 0 0
22 25 32.944729 42.375133 1795.651866 30.985613 33.009879 1089.652084 0 0 0
23 26 33.429191 42.425869 1799.954384 31.386186 33.282457 1107.721945 0 0 0
24 27 33.125415 42.193801 1780.316855 31.091816 33.300368 1108.914527 0 0 0
25 28 32.508638 41.949845 1759.789488 30.503204 33.253612 1105.802685 0 0 0
26 29 32.223874 41.573943 1728.392722 30.219876 32.914678 1083.376007 0 0 0
27 30 32.061371 41.048172 1684.952445 30.135215 32.863241 1079.992577 0 0 0
28 31 31.978178 40.762637 1661.592579 30.071562 32.808218 1076.379191 0 0 0
29 32 31.933490 40.493233 1639.701920 30.038386 32.800647 1075.882473 0 0 0
30 33 32.477090 40.891069 1672.079533 30.433817 33.065473 1093.325496 0 0 0
31 34 32.284646 39.721219 1577.775255 30.417070 32.543127 1059.055106 0 0 0
32 35 32.824592 40.021661 1601.733311 30.863996 32.812398 1076.653486 0 0 0
33 36 32.166812 39.058940 1525.600795 30.350736 32.201018 1036.905533 0 0 0
34 37 32.330905 38.457782 1479.001016 30.584969 32.011022 1024.705551 0 0 0
35 38 31.080873 37.432405 1401.184938 29.523583 31.375220 984.404453 0 0 0
36 39 34.459510 35.739978 1277.346042 32.956449 30.634167 938.452164 0 0 0
37 40 36.519372 38.270618 1464.640223 34.536942 32.405646 1050.125879 0 0 0
