j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
1 28 14.5 4.83388 43.9766 39.142715031676509 12.608741066307918 1.260873E+01 19.8478
2 29 15.5 8.74062 33.8545 25.113878936298974 11.780050252653012 1.178005E+01 18.6074
3 30 16.5 10.0551 28.3165 18.261406573304178 10.287508721249118 1.028746E+01 17.5128
4 31 17.5 10.144 24.6683 14.524279839263437 9.5854608711253722 9.585434E+00 16.5399
5 32 18.5 10.0277 22.0243 11.996640123958288 9.5690055863365995 9.569005E+00 15.6693
6 33 19.5 9.57095 19.9916 10.420645151448122 10.569694355960982 1.056965E+01 14.8859
7 34 20.5 9.47997 18.3646 8.8846300059494077 9.1013376743149834 9.101310E+00 14.177
8 35 21.5 9.03577 17.0239 7.9881254750672284 9.0372827674648502 9.037263E+00 13.5326
9 36 22.5 8.73146 15.8942 7.1627437186080982 8.5312447217689567 8.531017E+00 12.9442
10 37 23.5 8.44905 14.9256 6.4765484957368677 9.1286439588495174 9.128524E+00 12.4049
11 38 24.5 7.78921 14.0833 6.2940938561190460 9.4181556516219747 9.418148E+00 11.9087
12 39 25.5 7.71603 13.3424 5.6263721136819544 7.5865627287876745 7.586399E+00 11.4507
13 40 26.5 7.27344 12.6842 5.4107629778811885 9.7477225800782463 9.747686E+00 11.0266
