  # July 4, 2014 12:22:22
 # jmin,jmax    0   50
 # Eau     0.00200000
 # r0,ra,rb,rdel,tol,Bau,mu   3.5000  25.0000  25.0000   4.0000  1.0000E-03  3.0130E-07  6.8548E+03
 # parity bigJ  0  0        1  0        1  1        2  0        2  1        2  2        3  0        3  1        3  2        3  3
 # jmin,jmax,maxlamb are            0          50         100
 # j and jp are          16          18
 # lam  B-lambda(j,jp)  angle
 2   2080.5951      4.6371
 3     21.5461      9.2876
 4    251.5819     13.1505
 5      6.1429     16.7876
 6     75.6319     20.3295
 7      1.5776     23.8285
 8     30.2766     27.3110
 9      0.5270     30.7932
10     14.3571     34.2862
11      0.2350     37.7988
12      7.6346     41.3382
13      0.1258     44.9113
14      4.5191     48.5246
15      0.0770     52.1847
16      2.9512     55.8986
17      0.0519     59.6739
18      2.1448     63.5188
19      0.0374     67.4426
20      1.6312     71.4559
21      0.0282     75.5709
22      1.3800     79.8020
23      0.0218     84.1664
24      1.1928     88.6849
25      0.0171     93.3834
26      1.0688     98.2946
27      0.0133    103.4613
28      1.0383    108.9409
29      0.0099    114.8140
30      1.0293    121.2006
31      0.0069    128.2924
32      1.0796    136.4351
33      0.0039    146.3866
34      1.7814    160.7810
