#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar	#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 10 85.393571 51.830280 2686.377906 85.059666 45.075938 2031.840221 0.333905 6.75434 654.538	1 10 85.363931 49.467297 2447.013456 85.102075 43.494840 1891.801080 0.261856 5.97246 555.212
2 11 81.767412 51.973106 2701.203722 81.578943 47.345911 2241.635249 0.188469 4.6272 459.568	2 11 81.162659 49.243149 2424.887739 81.109247 45.416980 2062.702103 0.053412 3.82617 362.186
3 12 78.169112 51.619374 2664.559742 78.078131 48.165091 2319.875947 0.090981 3.45428 344.684	3 12 79.372080 48.751086 2376.668427 79.338068 46.002484 2116.228533 0.034012 2.7486 260.44
4 13 74.781166 51.177619 2619.148645 74.755553 48.451996 2347.595902 0.025613 2.72562 271.553	4 13 76.656631 48.508618 2353.086037 76.665481 46.419184 2154.740673 -0.00885 2.08943 198.345
5 14 71.356759 50.548595 2555.160500 71.385370 48.324352 2335.242964 -0.028611 2.22424 219.918	5 14 76.600725 48.891179 2390.347423 76.593878 47.180530 2226.002420 0.006847 1.71065 164.345
6 15 68.114365 49.873937 2487.409635 68.181799 48.011247 2305.079824 -0.067434 1.86269 182.33	6 15 74.548679 48.776862 2379.182247 74.557657 47.378461 2244.718531 -0.008978 1.3984 134.464
7 16 64.976253 49.097386 2410.553359 65.074316 47.510000 2257.200103 -0.098063 1.58739 153.353	7 16 73.660773 48.481837 2350.488478 73.674816 47.299688 2237.260445 -0.014043 1.18215 113.228
8 17 61.970276 48.250050 2328.067335 62.091571 46.878093 2197.555563 -0.121295 1.37196 130.512	8 17 72.105735 48.740681 2375.654029 72.126861 47.715533 2276.772059 -0.021126 1.02515 98.882
9 18 59.286225 47.490907 2255.386288 59.421137 46.286308 2142.422273 -0.134912 1.2046 112.964	9 18 69.818254 47.850755 2289.694795 69.860818 46.987890 2207.861845 -0.042564 0.862865 81.8329
10 19 56.753155 46.683555 2179.354297 56.898311 45.617073 2080.917355 -0.145156 1.06648 98.4369	10 19 68.113000 48.088255 2312.480291 68.162675 47.328904 2240.025153 -0.049675 0.759351 72.4551
11 20 54.530451 46.012390 2117.140027 54.679622 45.055212 2029.972119 -0.149171 0.957178 87.1679	11 20 67.173528 48.075579 2311.261310 67.217984 47.390236 2245.834473 -0.044456 0.685343 65.4268
12 21 52.306329 45.179331 2041.171989 52.461635 44.320287 1964.287824 -0.155306 0.859044 76.8842	12 21 65.840826 47.787592 2283.653939 65.885460 47.174149 2225.400334 -0.044634 0.613443 58.2536
13 22 50.119136 44.229617 1956.259054 50.280018 43.456702 1888.484989 -0.160882 0.772915 67.7741	13 22 65.783971 48.063571 2310.106867 65.818421 47.510140 2257.213361 -0.03445 0.553431 52.8935
14 23 48.158968 43.400512 1883.604430 48.321320 42.696558 1822.996060 -0.162352 0.703954 60.6084	14 23 64.298559 47.680463 2273.426572 64.331456 47.165359 2224.571106 -0.032897 0.515104 48.8555
15 24 46.316149 42.600627 1814.813401 46.478906 41.956331 1760.333722 -0.162757 0.644296 54.4797	15 24 63.685825 47.742512 2279.347484 63.717503 47.276034 2235.023406 -0.031678 0.466478 44.3241
16 25 44.600721 41.767336 1744.510392 44.763066 41.176291 1695.486942 -0.162345 0.591045 49.0234	16 25 62.082359 47.137060 2221.902388 62.109214 46.706632 2181.509469 -0.026855 0.430428 40.3929
17 26 42.744111 40.628156 1650.647041 42.909190 40.092625 1607.418589 -0.165079 0.535531 43.2285	17 26 61.218958 47.306836 2237.936727 61.248481 46.908249 2200.383787 -0.029523 0.398587 37.5529
18 27 40.402511 38.684800 1496.513774 40.578458 38.216053 1460.466740 -0.175947 0.468747 36.047	18 27 59.405550 46.290417 2142.802750 59.435520 45.928579 2109.434402 -0.02997 0.361838 33.3683
19 28 37.597972 35.979329 1294.512096 37.786463 35.579809 1265.922777 -0.188491 0.39952 28.5893	19 28 59.143277 46.766228 2187.080061 59.167397 46.422472 2155.045941 -0.02412 0.343756 32.0341
20 29 35.219898 33.543375 1125.158035 35.413689 33.190160 1101.586753 -0.193791 0.353215 23.5713	20 29 58.701462 46.986289 2207.711333 58.721024 46.653105 2176.512218 -0.019562 0.333184 31.1991
21 30 32.788049 31.162649 971.110665 32.985213 30.846510 951.507158 -0.197164 0.316139 19.6035	21 30 57.151220 46.491472 2161.457013 57.171284 46.179948 2132.587602 -0.020064 0.311524 28.8694
22 31 30.943343 29.098680 846.733177 31.139782 28.809445 829.984117 -0.196439 0.289235 16.7491	22 31 57.225405 46.308310 2144.459547 57.243006 46.015894 2117.462479 -0.017601 0.292416 26.9971
23 32 29.178359 27.202986 740.002467 29.369622 26.935964 725.546161 -0.191263 0.267022 14.4563	23 32 54.287957 44.800262 2007.063443 54.311937 44.529354 1982.863348 -0.02398 0.270908 24.2001
24 33 27.511499 25.448259 647.613865 27.703986 25.198256 634.952120 -0.192487 0.250003 12.6617	24 33 56.498096 46.751542 2185.706635 56.510965 46.471617 2159.611185 -0.012869 0.279925 26.0954
25 34 26.289292 23.601197 557.016518 26.472977 23.372348 546.266636 -0.183685 0.228849 10.7499	25 34 54.151172 44.876717 2013.919741 54.174406 44.639100 1992.649293 -0.023234 0.237617 21.2704
