#Theta He10 He15 diff
1.7365 4.252584E+01 4.236266E+01 0.16318
3.8839 6.234053E-01 6.020341E-01 0.0213712
5.7621 1.756796E+01 1.741005E+01 0.15791
7.5753 5.667209E-01 6.108311E-01 -0.0441102
9.3624 1.206952E+01 1.207565E+01 -0.00613
11.1374 5.613859E-01 5.577085E-01 0.0036774
12.9065 9.246382E+00 9.475044E+00 -0.228662
14.6732 5.347665E-01 5.352429E-01 -0.0004764
16.4397 7.435927E+00 7.595990E+00 -0.160063
18.2075 5.086314E-01 5.033733E-01 0.0052581
19.9777 6.127644E+00 6.194117E+00 -0.066473
21.7513 4.882799E-01 4.725716E-01 0.0157083
23.5290 5.085206E+00 5.111414E+00 -0.026208
25.3115 4.370177E-01 4.254029E-01 0.0116148
27.0996 4.186180E+00 4.189306E+00 -0.003126
28.8938 3.952978E-01 3.846368E-01 0.010661
30.6948 3.491588E+00 3.472666E+00 0.018922
32.5031 3.429622E-01 3.342015E-01 0.0087607
34.3194 2.859197E+00 2.830850E+00 0.028347
36.1444 2.704465E-01 2.666785E-01 0.003768
37.9786 2.261174E+00 2.249143E+00 0.012031
39.8227 2.023648E-01 2.031063E-01 -0.0007415
41.6775 1.887213E+00 1.873194E+00 0.014019
43.5436 1.636937E-01 1.643941E-01 -0.0007004
45.4217 1.609035E+00 1.575060E+00 0.033975
47.3127 1.431919E-01 1.415482E-01 0.0016437
49.2173 1.342405E+00 1.292884E+00 0.049521
51.1364 1.204140E-01 1.171347E-01 0.0032793
53.0709 1.182930E+00 1.126226E+00 0.056704
55.0217 9.824961E-02 9.440378E-02 0.00384583
56.9899 1.032816E+00 9.797255E-01 0.0530905
58.9766 8.076461E-02 7.695455E-02 0.00381006
60.9829 8.829354E-01 8.364031E-01 0.0465323
63.0100 6.582659E-02 6.292664E-02 0.00289995
65.0592 7.804000E-01 7.355668E-01 0.0448332
67.1321 5.285738E-02 5.124224E-02 0.00161514
69.2301 7.040649E-01 6.608541E-01 0.0432108
71.3549 4.196421E-02 4.068648E-02 0.00127773
73.5083 6.419703E-01 6.130497E-01 0.0289206
75.6923 3.169784E-02 3.008540E-02 0.00161244
77.9091 5.505171E-01 5.302275E-01 0.0202896
80.1612 2.198752E-02 2.076551E-02 0.00122201
82.4510 4.011445E-01 3.762267E-01 0.0249178
84.7817 1.475784E-02 1.397043E-02 0.00078741
87.1564 2.648706E-01 2.454498E-01 0.0194208
89.5789 1.007513E-02 9.355259E-03 0.000719871
92.0533 1.878778E-01 1.777919E-01 0.0100859
94.5843 6.540983E-03 6.004699E-03 0.000536284
97.1774 1.285922E-01 1.201625E-01 0.0084297
99.8388 4.019438E-03 3.684400E-03 0.000335038
102.5758 8.277765E-02 7.161753E-02 0.0111601
105.3968 2.321458E-03 2.205334E-03 0.000116124
108.3122 6.316354E-02 4.967805E-02 0.0134855
111.3340 1.084452E-03 1.084427E-03 2.5e-08
114.4772 4.270155E-02 3.374327E-02 0.00895828
117.7606 3.747496E-04 3.747410E-04 8.6e-09
121.2079 1.716220E-02 1.589057E-02 0.00127163
124.8499 0.000000E+00 1.293354E-04 -0.000129335
128.7286 3.420281E-03 5.261850E-03 -0.00184157
132.9025 0.000000E+00 0.000000E+00 0
137.4590 4.079133E-04 2.039520E-03 -0.00163161
142.5376 0.000000E+00 0.000000E+00 0
148.3895 1.403929E-04 9.827278E-04 -0.000842335
155.5645 0.000000E+00 0.000000E+00 0
165.9638 2.896295E-04 5.792456E-04 -0.000289616
