#Theta He10 He15 diff
0.0 0.0000000 0.0000000 0
0.1 0.8203809 0.8191045 0.0012764
0.2 1.6404985 1.6379461 0.0025524
0.3 2.4600897 2.4562622 0.0038275
0.4 3.2788915 3.2737903 0.0051012
0.5 4.0966413 4.0902681 0.0063732
0.6 4.9130768 4.9054340 0.0076428
0.7 5.7279365 5.7190268 0.0089097
0.8 6.5409594 6.5307859 0.0101735
0.9 7.3518852 7.3404515 0.0114337
1.0 8.1604546 8.1477648 0.0126898
1.1 8.9664092 8.9524677 0.0139415
1.2 9.7694917 9.7543035 0.0151882
1.3 10.5694461 10.5530165 0.0164296
1.4 11.3660174 11.3483523 0.0176651
1.5 12.1589524 12.1400580 0.0188944
1.6 12.9479990 12.9278820 0.020117
1.7 13.7329071 13.7115745 0.0213326
1.8 14.5134281 14.4908875 0.0225406
1.9 15.2893151 15.2655744 0.0237407
2.0 16.0603234 16.0353910 0.0249324
2.1 16.8262102 16.8000949 0.0261153
2.2 17.5867347 17.5594457 0.027289
2.3 18.3416586 18.3132053 0.0284533
2.4 19.0907456 19.0611381 0.0296075
2.5 19.8337619 19.8030107 0.0307512
2.6 20.5704765 20.5385922 0.0318843
2.7 21.3006606 21.2676544 0.0330062
2.8 22.0240883 21.9899717 0.0341166
2.9 22.7405364 22.7053214 0.035215
3.0 23.4497848 23.4134837 0.0363011
3.1 24.1516161 24.1142415 0.0373746
3.2 24.8458162 24.8073810 0.0384352
3.3 25.5321739 25.4926916 0.0394823
3.4 26.2104813 26.1699656 0.0405157
3.5 26.8805341 26.8389990 0.0415351
3.6 27.5421310 27.4995909 0.0425401
3.7 28.1950744 28.1515439 0.0435305
3.8 28.8391703 28.7946645 0.0445058
3.9 29.4742281 29.4287623 0.0454658
4.0 30.1000612 30.0536511 0.0464101
4.1 30.7164866 30.6691481 0.0473385
4.2 31.3233252 31.2750746 0.0482506
4.3 31.9204020 31.8712557 0.0491463
4.4 32.5075457 32.4575205 0.0500252
4.5 33.0845894 33.0337024 0.050887
4.6 33.6513700 33.5996385 0.0517315
4.7 34.2077289 34.1551705 0.0525584
4.8 34.7535117 34.7001441 0.0533676
4.9 35.2885681 35.2344094 0.0541587
5.0 35.8127524 35.7578209 0.0549315
5.1 36.3259233 36.2702375 0.0556858
5.2 36.8279441 36.7715226 0.0564215
5.3 37.3186823 37.2615441 0.0571382
5.4 37.7980104 37.7401745 0.0578359
5.5 38.2658053 38.2072910 0.0585143
5.6 38.7219486 38.6627754 0.0591732
5.7 39.1663268 39.1065143 0.0598125
5.8 39.5988311 39.5383990 0.0604321
5.9 40.0193573 39.9583256 0.0610317
6.0 40.4278064 40.3661951 0.0616113
6.1 40.8240840 40.7619133 0.0621707
6.2 41.2081009 41.1453911 0.0627098
6.3 41.5797725 41.5165440 0.0632285
6.4 41.9390196 41.8752929 0.0637267
6.5 42.2857676 42.2215634 0.0642042
6.6 42.6199473 42.5552862 0.0646611
6.7 42.9414943 42.8763971 0.0650972
6.8 43.2503494 43.1848368 0.0655126
6.9 43.5464583 43.4805514 0.0659069
7.0 43.8297722 43.7634917 0.0662805
7.1 44.1002470 44.0336139 0.0666331
7.2 44.3578440 44.2908793 0.0669647
7.3 44.6025296 44.5352543 0.0672753
7.4 44.8342752 44.7667102 0.067565
7.5 45.0530575 44.9852239 0.0678336
7.6 45.2588583 45.1907770 0.0680813
7.7 45.4516646 45.3833566 0.068308
7.8 45.6314686 45.5629547 0.0685139
7.9 45.7982674 45.7295686 0.0686988
8.0 45.9520635 45.8832005 0.068863
8.1 46.0928644 46.0238580 0.0690064
8.2 46.2206828 46.1515536 0.0691292
8.3 46.3355363 46.2663050 0.0692313
8.4 46.4374480 46.3681349 0.0693131
8.5 46.5264455 46.4570712 0.0693743
8.6 46.6025620 46.5331467 0.0694153
8.7 46.6658354 46.5963992 0.0694362
8.8 46.7163086 46.6468717 0.0694369
8.9 46.7540297 46.6846118 0.0694179
9.0 46.7790514 46.7096724 0.069379
9.1 46.7914317 46.7221111 0.0693206
9.2 46.7912332 46.7219904 0.0692428
9.3 46.7785233 46.7093776 0.0691457
9.4 46.7533745 46.6843450 0.0690295
9.5 46.7158639 46.6469693 0.0688946
9.6 46.6660731 46.5973322 0.0687409
9.7 46.6040887 46.5355200 0.0685687
9.8 46.5300019 46.4616235 0.0683784
9.9 46.4439083 46.3757383 0.06817
10.0 46.3459081 46.2779643 0.0679438
10.1 46.2361061 46.1684059 0.0677002
10.2 46.1146113 46.0471722 0.0674391
10.3 45.9815373 45.9143762 0.0671611
10.4 45.8370019 45.7701356 0.0668663
10.5 45.6811272 45.6145721 0.0665551
10.6 45.5140393 45.4478117 0.0662276
10.7 45.3358688 45.2699845 0.0658843
10.8 45.1467500 45.0812246 0.0655254
10.9 44.9468213 44.8816702 0.0651511
