 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
   42      0.7770     19.1066    2.182641E-01
   43      0.0010     34.0221    2.875158E-04
   44      0.2890     44.7624    8.500222E-02
   45      0.0009     53.9462    2.706614E-04
   46      0.1625     62.3314    4.994347E-02
   47      0.0007     70.2773    2.197678E-04
   48      0.1080     78.0018    3.462087E-02
   49      0.0004     85.6647    1.308693E-04
   50      0.0673     93.4051    2.246358E-02
   51      0.0002    101.3663    6.807845E-05
   52      0.0315    109.7227    1.093056E-02
   53      0.0001    118.7216    3.536114E-05
   54      0.0113    128.7807    4.070496E-03
   55      0.0000    140.7894    0.000000E+00
   56      0.0071    157.8216    2.651424E-03
