 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
   24      8.3203      9.9868    1.195952E+00
   25      0.2968     17.6290    4.440305E-02
   26      3.6533     23.0806    5.679890E-01
   27      0.2546     27.6746    4.107711E-02
   28      2.3826     31.7914    3.983866E-01
   29      0.1966     35.6028    3.402626E-02
   30      1.6908     39.2041    3.025525E-01
   31      0.1464     42.6544    2.705580E-02
   32      1.3237     45.9937    2.523955E-01
   33      0.1034     49.2509    2.032236E-02
   34      1.0046     52.4477    2.033392E-01
   35      0.0668     55.6011    1.391277E-02
   36      0.6353     58.7251    1.360443E-01
   37      0.0403     61.8316    8.866354E-03
   38      0.4091     64.9307    9.240574E-02
   39      0.0250     68.0320    5.793564E-03
   40      0.3023     71.1439    7.182935E-02
   41      0.0167     74.2748    4.066056E-03
   42      0.2269     77.4329    5.657599E-02
   43      0.0110     80.6265    2.807312E-03
   44      0.1869     83.8644    4.879531E-02
   45      0.0070     87.1556    1.868608E-03
   46      0.1435     90.5103    3.914836E-02
   47      0.0044     93.9399    1.226182E-03
   48      0.1105     97.4572    3.144219E-02
   49      0.0026    101.0774    7.550701E-04
   50      0.1053    104.8183    3.119812E-02
   51      0.0013    108.7021    3.927890E-04
   52      0.0804    112.7564    2.476419E-02
   53      0.0005    117.0168    1.569396E-04
   54      0.0379    121.5311    1.211838E-02
   55      0.0002    126.3662    6.512260E-05
   56      0.0138    131.6209    4.574422E-03
   57      0.0000    137.4534    0.000000E+00
   58      0.0064    144.1475    2.196568E-03
   59      0.0000    152.3254    0.000000E+00
   60      0.0034    164.1425    1.206821E-03
