# alpha	alpha^2	B*sin(alpha)
0.000000	0.000000	0.000000
0.100000	0.010000	0.008653
0.200000	0.040000	0.017303
0.300000	0.090000	0.025949
0.400000	0.160000	0.034588
0.500000	0.250000	0.043217
0.600000	0.360000	0.051834
0.700000	0.490000	0.060437
0.800000	0.640000	0.069023
0.900000	0.810000	0.077590
1.000000	1.000000	0.086136
1.100000	1.210000	0.094658
1.200000	1.440000	0.103154
1.300000	1.690000	0.111622
1.400000	1.960000	0.120059
1.500000	2.250000	0.128463
1.600000	2.560000	0.136832
1.700000	2.890000	0.145163
1.800000	3.240000	0.153455
1.900000	3.610000	0.161705
2.000000	4.000000	0.169910
2.100000	4.410000	0.178069
2.200000	4.840000	0.186179
2.300000	5.290000	0.194238
2.400000	5.760000	0.202245
2.500000	6.250000	0.210196
2.600000	6.760000	0.218091
2.700000	7.290000	0.225926
2.800000	7.840000	0.233699
2.900000	8.410000	0.241410
3.000000	9.000000	0.249055
3.100000	9.610000	0.256632
3.200000	10.240000	0.264141
3.300000	10.890000	0.271578
3.400000	11.560000	0.278942
3.500000	12.250000	0.286232
3.600000	12.960000	0.293444
3.700000	13.690000	0.300578
3.800000	14.440000	0.307632
3.900000	15.210000	0.314603
4.000000	16.000000	0.321491
4.100000	16.810000	0.328293
4.200000	17.640000	0.335008
4.300000	18.490000	0.341634
4.400000	19.360000	0.348170
4.500000	20.250000	0.354614
4.600000	21.160000	0.360965
4.700000	22.090000	0.367222
4.800000	23.040000	0.373381
4.900000	24.010000	0.379444
5.000000	25.000000	0.385407
5.100000	26.010000	0.391271
5.200000	27.040000	0.397032
5.300000	28.090000	0.402691
5.400000	29.160000	0.408246
5.500000	30.250000	0.413697
5.600000	31.360000	0.419041
5.700000	32.490000	0.424277
5.800000	33.640000	0.429406
5.900000	34.810000	0.434425
6.000000	36.000000	0.439335
6.100000	37.210000	0.444133
6.200000	38.440000	0.448819
6.300000	39.690000	0.453393
6.400000	40.960000	0.457854
6.500000	42.250000	0.462200
6.600000	43.560000	0.466432
6.700000	44.890000	0.470548
6.800000	46.240000	0.474548
6.900000	47.610000	0.478432
7.000000	49.000000	0.482199
7.100000	50.410000	0.485849
7.200000	51.840000	0.489380
7.300000	53.290000	0.492794
7.400000	54.760000	0.496089
7.500000	56.250000	0.499265
7.600000	57.760000	0.502323
7.700000	59.290000	0.505261
7.800000	60.840000	0.508080
7.900000	62.410000	0.510780
8.000000	64.000000	0.513361
8.100000	65.610000	0.515822
8.200000	67.240000	0.518164
8.300000	68.890000	0.520387
8.400000	70.560000	0.522492
8.500000	72.250000	0.524477
8.600000	73.960000	0.526344
8.700000	75.690000	0.528093
8.800000	77.440000	0.529724
8.900000	79.210000	0.531237
9.000000	81.000000	0.532633
9.100000	82.810000	0.533913
9.200000	84.640000	0.535077
9.300000	86.490000	0.536125
9.400000	88.360000	0.537058
9.500000	90.250000	0.537877
9.600000	92.160000	0.538582
9.700000	94.090000	0.539174
9.800000	96.040000	0.539655
9.900000	98.010000	0.540024
10.000000	100.000000	0.540282
10.100000	102.010000	0.540431
10.200000	104.040000	0.540471
10.300000	106.090000	0.540404
10.400000	108.160000	0.540229
10.500000	110.250000	0.539950
10.600000	112.360000	0.539565
10.700000	114.490000	0.539077
10.800000	116.640000	0.538487
10.900000	118.810000	0.537796
11.000000	121.000000	0.537004
11.100000	123.210000	0.536114
11.200000	125.440000	0.535127
11.300000	127.690000	0.534044
11.400000	129.960000	0.532866
11.500000	132.250000	0.531594
11.600000	134.560000	0.530231
11.700000	136.890000	0.528778
11.800000	139.240000	0.527235
11.900000	141.610000	0.525605
12.000000	144.000000	0.523889
12.100000	146.410000	0.522089
12.200000	148.840000	0.520206
12.300000	151.290000	0.518242
12.400000	153.760000	0.516198
12.500000	156.250000	0.514077
12.600000	158.760000	0.511879
12.700000	161.290000	0.509607
12.800000	163.840000	0.507263
12.900000	166.410000	0.504847
13.000000	169.000000	0.502362
13.100000	171.610000	0.499810
13.200000	174.240000	0.497193
13.300000	176.890000	0.494512
13.400000	179.560000	0.491769
13.500000	182.250000	0.488966
13.600000	184.960000	0.486104
13.700000	187.690000	0.483187
13.800000	190.440000	0.480216
13.900000	193.210000	0.477192
14.000000	196.000000	0.474117
14.100000	198.810000	0.470994
14.200000	201.640000	0.467825
14.300000	204.490000	0.464611
14.400000	207.360000	0.461355
14.500000	210.250000	0.458058
14.600000	213.160000	0.454722
14.700000	216.090000	0.451350
14.800000	219.040000	0.447943
14.900000	222.010000	0.444503
15.000000	225.000000	0.441033
15.100000	228.010000	0.437535
15.200000	231.040000	0.434009
15.300000	234.090000	0.430460
15.400000	237.160000	0.426887
15.500000	240.250000	0.423294
15.600000	243.360000	0.419683
15.700000	246.490000	0.416055
15.800000	249.640000	0.412412
15.900000	252.810000	0.408757
16.000000	256.000000	0.405091
16.100000	259.210000	0.401416
16.200000	262.440000	0.397735
16.300000	265.690000	0.394050
16.400000	268.960000	0.390361
16.500000	272.250000	0.386672
16.600000	275.560000	0.382984
16.700000	278.890000	0.379299
16.800000	282.240000	0.375619
16.900000	285.610000	0.371945
17.000000	289.000000	0.368281
17.100000	292.410000	0.364627
17.200000	295.840000	0.360986
17.300000	299.290000	0.357358
17.400000	302.760000	0.353747
17.500000	306.250000	0.350154
17.600000	309.760000	0.346580
17.700000	313.290000	0.343028
17.800000	316.840000	0.339499
17.900000	320.410000	0.335995
18.000000	324.000000	0.332517
18.100000	327.610000	0.329068
18.200000	331.240000	0.325648
18.300000	334.890000	0.322260
18.400000	338.560000	0.318905
18.500000	342.250000	0.315585
18.600000	345.960000	0.312301
18.700000	349.690000	0.309054
18.800000	353.440000	0.305847
18.900000	357.210000	0.302680
19.000000	361.000000	0.299555
19.100000	364.810000	0.296474
19.200000	368.640000	0.293438
19.300000	372.490000	0.290448
19.400000	376.360000	0.287505
19.500000	380.250000	0.284611
19.600000	384.160000	0.281767
19.700000	388.090000	0.278975
19.800000	392.040000	0.276235
19.900000	396.010000	0.273548
20.000000	400.000000	0.270917
20.100000	404.010000	0.268341
20.200000	408.040000	0.265822
20.300000	412.090000	0.263360
20.400000	416.160000	0.260958
20.500000	420.250000	0.258616
20.600000	424.360000	0.256334
20.700000	428.490000	0.254114
20.800000	432.640000	0.251956
20.900000	436.810000	0.249861
21.000000	441.000000	0.247831
21.100000	445.210000	0.245865
21.200000	449.440000	0.243965
21.300000	453.690000	0.242130
21.400000	457.960000	0.240363
21.500000	462.250000	0.238663
21.600000	466.560000	0.237030
21.700000	470.890000	0.235466
21.800000	475.240000	0.233971
21.900000	479.610000	0.232545
22.000000	484.000000	0.231189
22.100000	488.410000	0.229902
22.200000	492.840000	0.228686
22.300000	497.290000	0.227541
22.400000	501.760000	0.226466
22.500000	506.250000	0.225462
22.600000	510.760000	0.224530
22.700000	515.290000	0.223669
22.800000	519.840000	0.222879
22.900000	524.410000	0.222160
23.000000	529.000000	0.221514
23.100000	533.610000	0.220938
23.200000	538.240000	0.220434
23.300000	542.890000	0.220001
23.400000	547.560000	0.219639
23.500000	552.250000	0.219349
23.600000	556.960000	0.219129
23.700000	561.690000	0.218979
23.800000	566.440000	0.218900
23.900000	571.210000	0.218891
24.000000	576.000000	0.218951
24.100000	580.810000	0.219080
24.200000	585.640000	0.219278
24.300000	590.490000	0.219545
24.400000	595.360000	0.219879
24.500000	600.250000	0.220280
24.600000	605.160000	0.220748
24.700000	610.090000	0.221282
24.800000	615.040000	0.221882
24.900000	620.010000	0.222547
25.000000	625.000000	0.223275
25.100000	630.010000	0.224067
25.200000	635.040000	0.224922
25.300000	640.090000	0.225839
25.400000	645.160000	0.226816
25.500000	650.250000	0.227854
25.600000	655.360000	0.228951
25.700000	660.490000	0.230107
25.800000	665.640000	0.231320
25.900000	670.810000	0.232590
26.000000	676.000000	0.233915
26.100000	681.210000	0.235295
26.200000	686.440000	0.236729
26.300000	691.690000	0.238215
26.400000	696.960000	0.239752
26.500000	702.250000	0.241340
26.600000	707.560000	0.242977
26.700000	712.890000	0.244662
26.800000	718.240000	0.246394
26.900000	723.610000	0.248172
27.000000	729.000000	0.249994
27.100000	734.410000	0.251859
27.200000	739.840000	0.253767
27.300000	745.290000	0.255715
27.400000	750.760000	0.257702
27.500000	756.250000	0.259728
27.600000	761.760000	0.261791
27.700000	767.290000	0.263889
27.800000	772.840000	0.266021
27.900000	778.410000	0.268186
28.000000	784.000000	0.270382
28.100000	789.610000	0.272609
28.200000	795.240000	0.274864
28.300000	800.890000	0.277146
28.400000	806.560000	0.279455
28.500000	812.250000	0.281787
28.600000	817.960000	0.284143
28.700000	823.690000	0.286520
28.800000	829.440000	0.288917
28.900000	835.210000	0.291332
29.000000	841.000000	0.293765
29.100000	846.810000	0.296213
29.200000	852.640000	0.298676
29.300000	858.490000	0.301151
29.400000	864.360000	0.303638
29.500000	870.250000	0.306134
29.600000	876.160000	0.308639
29.700000	882.090000	0.311150
29.800000	888.040000	0.313667
29.900000	894.010000	0.316188
30.000000	900.000000	0.318711
30.100000	906.010000	0.321235
30.200000	912.040000	0.323758
30.300000	918.090000	0.326279
30.400000	924.160000	0.328797
30.500000	930.250000	0.331310
30.600000	936.360000	0.333816
30.700000	942.490000	0.336315
30.800000	948.640000	0.338804
30.900000	954.810000	0.341283
31.000000	961.000000	0.343750
31.100000	967.210000	0.346203
31.200000	973.440000	0.348641
31.300000	979.690000	0.351063
31.400000	985.960000	0.353467
31.500000	992.250000	0.355852
31.600000	998.560000	0.358217
31.700000	1004.890000	0.360561
31.800000	1011.240000	0.362881
31.900000	1017.610000	0.365177
32.000000	1024.000000	0.367447
32.100000	1030.410000	0.369691
32.200000	1036.840000	0.371907
32.300000	1043.290000	0.374093
32.400000	1049.760000	0.376249
32.500000	1056.250000	0.378373
32.600000	1062.760000	0.380464
32.700000	1069.290000	0.382521
32.800000	1075.840000	0.384543
32.900000	1082.410000	0.386529
33.000000	1089.000000	0.388477
33.100000	1095.610000	0.390387
33.200000	1102.240000	0.392258
33.300000	1108.890000	0.394088
33.400000	1115.560000	0.395877
33.500000	1122.250000	0.397623
33.600000	1128.960000	0.399326
33.700000	1135.690000	0.400984
33.800000	1142.440000	0.402598
33.900000	1149.210000	0.404165
