#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 26 86.118476 51.752776 2678.349773 86.107416 44.930350 2018.736353 0.01106 6.82243 659.613
2 27 82.956454 51.874060 2690.918140 83.071145 47.164431 2224.483578 -0.114691 4.70963 466.435
3 28 80.442363 51.748339 2677.890591 80.600140 48.187735 2322.057822 -0.157777 3.5606 355.833
4 29 77.659130 51.336129 2635.398168 77.857642 48.495236 2351.787936 -0.198512 2.84089 283.61
5 30 74.734318 50.850909 2585.814980 74.966773 48.498257 2352.080915 -0.232455 2.35265 233.734
6 31 72.306086 50.461594 2546.372458 72.548614 48.456548 2348.037036 -0.242528 2.00505 198.335
7 32 70.065189 50.015701 2501.570358 70.312786 48.275503 2330.524230 -0.247597 1.7402 171.046
8 33 67.805789 49.579392 2458.116155 68.061424 48.044933 2308.315545 -0.255635 1.53446 149.801
9 34 64.246657 48.491232 2351.399565 64.538933 47.140688 2222.244457 -0.292276 1.35054 129.155
10 35 60.260635 46.046209 2120.253378 60.597121 44.887608 2014.897394 -0.336486 1.1586 105.356
11 36 55.028568 42.803813 1832.166439 55.414787 41.806294 1747.766193 -0.386219 0.997519 84.4002
12 37 50.840178 39.970212 1597.617812 51.246385 39.083972 1527.556874 -0.406207 0.88624 70.0609
13 38 45.698981 36.574489 1337.693253 46.134015 35.780578 1280.249730 -0.435034 0.793911 57.4435
14 39 43.638616 34.295834 1176.204202 44.058519 33.573588 1127.185813 -0.419903 0.722246 49.0184
15 40 40.021504 31.409516 986.557701 40.441152 30.741098 945.015123 -0.419648 0.668418 41.5426
16 41 35.895291 28.985312 840.148283 36.357776 28.332802 802.747651 -0.462485 0.65251 37.4006
17 42 34.369596 26.471788 700.755556 34.798617 25.872523 669.387444 -0.429021 0.599265 31.3681
18 43 31.588968 24.090475 580.350995 32.013443 23.506394 552.550558 -0.424475 0.584081 27.8004
19 44 30.751685 22.496374 506.086828 31.141637 21.939643 481.347922 -0.389952 0.556731 24.7389
20 45 28.081237 20.519473 421.048760 28.465603 19.972045 398.882570 -0.384366 0.547428 22.1662
21 46 27.367403 19.809466 392.414936 27.735027 19.283245 371.843540 -0.367624 0.526221 20.5714
22 47 27.288327 19.361814 374.879852 27.640686 18.850488 355.340902 -0.352359 0.511326 19.5389
23 48 27.423828 19.271654 371.396647 27.754728 18.785720 352.903284 -0.3309 0.485934 18.4934
24 49 25.830887 17.234162 297.016352 26.134754 16.766664 281.121018 -0.303867 0.467498 15.8953
25 50 24.912208 16.746205 280.435385 25.216343 16.280580 265.057301 -0.304135 0.465625 15.3781
