j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
1 35 18 6.64343 44.1814 37.537973123426774 0.53560107492456421 5.356005E-01 18.0589
2 36 19 10.2614 34.1308 23.869365366355254 0.53537039600406156 5.353694E-01 17.1328
3 37 20 11.0293 28.6398 17.610535445619018 0.50902501398028699 5.090248E-01 16.297
4 38 21 10.9784 25.0255 14.047130620709583 0.48508323952171672 4.850775E-01 15.539
5 39 22 10.5912 22.4069 11.815721692261477 0.50127819839676657 5.012773E-01 14.8484
6 40 23 9.9317 20.3935 10.461797350485073 0.59902114910868520 5.990130E-01 14.2166
7 41 24 9.56434 18.7815 9.2171596794732658 0.53350123555498519 5.334994E-01 13.6363
8 42 25 9.05197 17.4523 8.4003329451579489 0.59586061926135458 5.958606E-01 13.1015
9 43 26 8.89836 16.3314 7.4330434585273730 0.46219339702422663 4.621843E-01 12.6071
10 44 27 8.7006 15.3695 6.6688985373173777 0.52523148945925668 5.252202E-01 12.1487
11 45 28 8.15488 14.5322 6.3773205155551969 0.52292177577894772 5.229155E-01 11.7224
12 46 29 8.14 13.7948 5.6547998479313222 0.57972271424936617 5.796864E-01 11.325
13 47 30 7.60616 13.1390 5.5328367873552180 0.55709341638356291 5.570743E-01 10.9537
14 48 31 7.71061 12.5509 4.8402921804342505 0.41433673929057369 4.143080E-01 10.606
15 49 32 7.49104 12.0197 4.5286574940738067 0.44488801972225328 4.448700E-01 10.2797
16 50 33 7.16864 11.5370 4.3683587927802936 0.41387636944554834 4.138553E-01 9.9728
