 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
   33      3.6627     15.3156    8.396246E-01
   34      0.0141     27.1321    3.328720E-03
   35      1.5975     35.5866    3.880683E-01
   36      0.0121     42.7498    3.022158E-03
   37      1.1293     49.2152    2.897875E-01
   38      0.0088     55.2551    2.318368E-03
   39      0.8975     61.0245    2.425887E-01
   40      0.0063     66.6246    1.745961E-03
   41      0.6899     72.1286    1.959175E-01
   42      0.0046     77.5952    1.337783E-03
   43      0.4403     83.0755    1.310620E-01
   44      0.0031     88.6183    9.439755E-04
   45      0.2596     94.2741    8.082674E-02
   46      0.0019    100.0997    6.045685E-04
   47      0.1848    106.1639    6.006681E-02
   48      0.0011    112.5570    3.650677E-04
   49      0.1360    119.4070    4.606628E-02
   50      0.0005    126.9137    1.727827E-04
   51      0.0948    135.4309    3.340831E-02
   52      0.0002    145.7296    7.185025E-05
   53      0.1098    160.4870    4.019714E-02
