#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 11 79.267100 51.084068 2609.581954 79.119051 nan nan 0 0 0
2 12 72.475295 50.577556 2558.089172 72.952718 nan nan 0 0 0
3 13 67.074297 49.678938 2467.996854 67.917988 nan nan 0 0 0
4 14 63.203295 49.150203 2415.742482 64.143165 nan nan 0 0 0
5 15 59.819588 48.485739 2350.866890 60.842596 nan nan 0 0 0
6 16 57.314826 48.167783 2320.135301 58.278843 nan nan 0 0 0
7 17 55.195234 47.864222 2290.983728 56.086568 nan nan 0 0 0
8 18 53.006551 47.272025 2234.644354 53.910376 nan nan 0 0 0
9 19 51.366214 47.021623 2211.032995 52.176802 nan nan 0 0 0
10 20 49.775594 46.627855 2174.156877 50.538382 nan nan 0 0 0
11 21 47.881941 45.811950 2098.734753 48.718401 nan nan 0 0 0
12 22 46.306585 45.240371 2046.691129 47.143513 nan nan 0 0 0
13 23 44.790072 44.589043 1988.182782 45.647087 nan nan 0 0 0
14 24 42.243983 42.645559 1818.643735 43.439699 nan nan 0 0 0
15 25 39.765532 40.627563 1650.598863 41.257778 nan nan 0 0 0
16 26 37.810951 39.281940 1543.070825 39.425963 nan nan 0 0 0
17 27 36.234010 38.210891 1460.072180 37.919595 nan nan 0 0 0
18 28 34.229771 36.671284 1344.783078 36.066214 3.046172 9.279166 0 0 0
19 29 32.548460 34.957949 1222.058200 34.545013 4.816337 23.197099 0 0 0
20 30 30.433959 32.848936 1079.052599 32.561237 3.958059 15.666233 0 0 0
21 31 28.877802 31.598674 998.476210 31.097947 5.060561 25.609275 0 0 0
22 32 26.998965 29.211674 853.321887 29.310171 2.117190 4.482492 0 0 0
23 33 25.033355 26.846832 720.752381 27.516409 nan nan 0 0 0
24 34 24.109085 24.533572 601.896146 26.526146 nan nan 0 0 0
25 35 22.460874 22.676111 514.205999 24.903419 nan nan 0 0 0
26 36 21.895053 21.483730 461.550675 24.313796 nan nan 0 0 0
27 37 20.895556 20.206256 408.292766 23.255824 nan nan 0 0 0
28 38 20.537645 19.146053 366.571334 22.786295 nan nan 0 0 0
29 39 19.633305 18.190141 330.881232 21.847806 nan nan 0 0 0
30 40 19.593017 17.787494 316.394938 21.784479 nan nan 0 0 0
31 41 18.961134 16.814222 282.718077 21.026500 nan nan 0 0 0
32 42 18.102337 16.401206 268.999544 20.175246 nan nan 0 0 0
33 43 18.118178 15.941891 254.143896 20.111506 nan nan 0 0 0
34 44 18.624612 15.549098 241.774438 20.486938 nan nan 0 0 0
35 45 17.764217 15.287584 233.710232 19.711162 nan nan 0 0 0
36 46 16.349862 15.105803 228.185298 18.383854 nan nan 0 0 0
37 47 16.576642 14.129658 199.647229 18.394752 nan nan 0 0 0
38 48 16.137216 13.755616 189.216973 17.897674 nan nan 0 0 0
39 49 17.206730 14.114217 199.211129 18.913617 nan nan 0 0 0
40 50 16.898665 13.888458 192.889270 18.542852 nan nan 0 0 0
