j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
1 24 12.5 6.30434 43.8060 37.501663076948425 2.2549244518751501 2.254924E+00 21.137
2 25 13.5 9.97133 33.6264 23.655070042223297 2.2218509359826184 2.221842E+00 19.6272
3 26 14.5 10.674 28.0518 17.377787952373033 2.1926564320532846 2.192653E+00 18.3187
4 27 15.5 10.593 24.3783 13.785273153380375 2.1628106084526140 2.162808E+00 17.1738
5 28 16.5 10.2681 21.7160 11.447891420636781 2.1278002112283447 2.127761E+00 16.1636
6 29 17.5 9.84781 19.6699 9.8220850231114358 2.1022242922526302 2.102213E+00 15.2656
7 30 18.5 9.40105 18.0333 8.6322527017360997 2.0959282989503922 2.095898E+00 14.4622
8 31 19.5 8.99853 16.6855 7.6869651099775700 2.0570419552021280 2.057036E+00 13.739
9 32 20.5 8.60768 15.5509 6.9432176734180997 2.0224363967833767 2.022355E+00 13.0848
10 33 21.5 8.25093 14.5791 6.3281746815270266 1.9930924372392826 1.993052E+00 12.49
11 34 22.5 7.86336 13.7348 5.8714435657263078 2.0449155784759272 2.044866E+00 11.947
12 35 23.5 7.53124 12.9930 5.4617558406166040 2.0126575855976689 2.012558E+00 11.4492
13 36 24.5 7.19735 12.3348 5.1374524853637640 2.0275985842831408 2.027490E+00 10.9912
14 37 25.5 7.02119 11.7459 4.7247102096570490 1.9230592445501069 1.923006E+00 10.5685
15 38 26.5 6.72158 11.2153 4.4937201519530126 1.9983754628556789 1.998372E+00 10.1771
16 39 27.5 6.4153 10.7343 4.3189952842679835 1.9825864605052785 1.982549E+00 9.8136
17 40 28.5 6.22877 10.2958 4.0670348098655129 1.9701506530936146 1.970024E+00 9.4752
18 41 29.5 5.91773 9.8941 3.9763660957338058 2.1735458018120464 2.173472E+00 9.15936
19 42 30.5 5.69484 9.5246 3.8297605412972935 1.9976072340747917 1.997491E+00 8.8639
20 43 31.5 5.56887 9.1834 3.6145302306973157 2.0875203460048235 2.087488E+00 8.5869
21 44 32.5 5.45256 8.8671 3.4145435885079589 2.1055230955739108 2.105486E+00 8.32669
22 45 33.5 5.37778 8.5731 3.1953191212775347 2.1864059645975824 2.186401E+00 8.08179
23 46 34.5 5.17425 8.2989 3.1246513233860602 2.0056448578796955 2.005523E+00 7.85088
24 47 35.5 5.07942 8.0426 2.9631831696186963 1.9163946997891408 1.916111E+00 7.6328
25 48 36.5 4.96684 7.8023 2.8354595562074687 1.9987457034245799 1.998436E+00 7.42651
26 49 37.5 4.96826 7.5766 2.6083403114219728 2.0971949417334761 2.097173E+00 7.23108
27 50 38.5 4.8519 7.3641 2.5122042211254643 1.9859664080755686 1.985919E+00 7.04566
