 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
   18     14.5293      8.9726    1.832187E+00
   19      0.6178     15.8942    8.211751E-02
   20      5.3763     20.8674    7.512606E-01
   21      0.3459     25.0853    5.069233E-02
   22      3.2374     28.8864    4.965147E-01
   23      0.1758     32.4230    2.816048E-02
   24      2.1592     35.7789    3.605888E-01
   25      0.0927     39.0063    1.611288E-02
   26      1.5578     42.1401    2.813914E-01
   27      0.0605     45.2054    1.134074E-02
   28      1.2169     48.2208    2.364030E-01
   29      0.0474     51.2013    9.531332E-03
   30      0.9533     54.1586    1.981904E-01
   31      0.0390     57.1028    8.373913E-03
   32      0.7949     60.0427    1.760958E-01
   33      0.0321     62.9861    7.329985E-03
   34      0.6860     65.9401    1.613231E-01
   35      0.0261     68.9116    6.315709E-03
   36      0.5148     71.9072    1.280810E-01
   37      0.0210     74.9336    5.367893E-03
   38      0.3785     77.9978    9.932987E-02
   39      0.0166     81.1067    4.469495E-03
   40      0.3154     84.2683    8.707029E-02
   41      0.0128     87.4908    3.620857E-03
   42      0.2762     90.7839    8.001398E-02
   43      0.0094     94.1581    2.787214E-03
   44      0.2332     97.6259    7.073622E-02
   45      0.0065    101.2020    2.015942E-03
   46      0.1774    104.9041    5.622893E-02
   47      0.0043    108.7538    1.392244E-03
   48      0.1352    112.7785    4.469631E-02
   49      0.0026    117.0139    8.772670E-04
   50      0.1248    121.5076    4.295950E-02
   51      0.0014    126.3264    4.914604E-04
   52      0.1117    131.5693    3.997291E-02
   53      0.0006    137.3947    2.188055E-04
   54      0.0796    144.0872    2.957078E-02
   55      0.0002    152.2707    7.566173E-05
   56      0.0663    164.1058    2.553379E-02
