#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 27 87.618740 51.821754 2685.494205 87.530099 44.993584 2024.422621 0.088641 6.82817 661.072
2 28 85.017936 51.929642 2696.687703 85.034737 47.213590 2229.123063 -0.016801 4.71605 467.565
3 29 81.849084 51.509521 2653.230731 81.955453 47.959872 2300.149350 -0.106369 3.54965 353.081
4 30 79.926682 51.592664 2661.802972 80.045516 48.739571 2375.545805 -0.118834 2.85309 286.257
5 31 77.231422 51.059883 2607.111602 77.391215 48.704883 2372.165619 -0.159793 2.355 234.946
6 32 72.234269 49.213384 2421.957186 72.495079 47.269375 2234.393789 -0.26081 1.94401 187.563
7 33 68.036539 47.894988 2293.929895 68.343676 46.227229 2136.956660 -0.307137 1.66776 156.973
8 34 64.490345 47.399686 2246.730262 64.820172 45.916351 2108.311285 -0.329827 1.48334 138.419
9 35 62.469617 46.751144 2185.669492 62.786993 45.431720 2064.041187 -0.317376 1.31942 121.628
10 36 57.454556 44.965815 2021.924514 57.828302 43.799492 1918.395521 -0.373746 1.16632 103.529
11 37 54.874193 43.099303 1857.549914 55.253090 42.074364 1770.252095 -0.378897 1.02494 87.2978
12 38 49.248930 40.764052 1661.707911 49.664077 39.835457 1586.863646 -0.415147 0.928595 74.8443
13 39 47.990488 39.881555 1590.538445 48.395332 39.024171 1522.885892 -0.404844 0.857384 67.6526
14 40 43.827668 35.904445 1289.129197 44.244973 35.169091 1236.864981 -0.417305 0.735354 52.2642
15 41 39.668542 32.682907 1068.172405 40.122576 32.004752 1024.304119 -0.454034 0.678155 43.8683
16 42 35.537483 28.199314 795.201310 35.977990 27.570024 760.106221 -0.440507 0.62929 35.0951
17 43 33.208101 26.539670 704.354102 33.657177 25.932306 672.484504 -0.449076 0.607364 31.8696
18 44 34.513006 25.424120 646.385897 34.892648 24.875147 618.772936 -0.379642 0.548973 27.613
19 45 31.843907 23.544895 554.362084 32.231331 23.001417 529.065185 -0.387424 0.543478 25.2969
20 46 31.303302 22.269657 495.937604 31.663698 21.748990 473.018566 -0.360396 0.520667 22.919
21 47 28.947107 20.881940 436.055436 29.311976 20.354614 414.310304 -0.364869 0.527326 21.7451
22 48 29.305106 21.641807 468.367810 29.656956 21.146000 447.153313 -0.35185 0.495807 21.2145
23 49 26.950394 18.796888 353.322997 27.284988 18.302179 334.969769 -0.334594 0.494709 18.3532
24 50 25.774727 18.220222 331.976475 26.104960 17.738846 314.666672 -0.330233 0.481376 17.3098
