j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
1 3 2 -2.42617 35.2644 37.690568074302959 174.90090371370829 1.749009E+02 32.4114
2 4 3 0.109781 24.0948 23.985018974544275 174.91963365218621 1.749196E+02 23.151
3 5 4 0.739982 18.4349 17.694917694919155 174.49553042925203 1.744955E+02 18.0063
4 6 5 0.903086 14.9632 14.060113716826784 173.99342122560282 1.739919E+02 14.7324
5 7 6 0.920672 12.6044 11.683728036872825 173.45507218974822 1.734547E+02 12.4659
6 8 7 0.88828 10.8934 10.005119698728684 172.88235543253109 1.728823E+02 10.8038
7 9 8 0.83944 9.5941 8.7546602818795538 172.26867203894849 1.722636E+02 9.53276
8 10 9 0.786632 8.5731 7.7864682718858926 171.60876033671155 1.716082E+02 8.52931
9 11 10 0.735302 7.7494 7.0140977014350216 170.90058518416944 1.708998E+02 7.717
10 12 11 0.687178 7.0706 6.3834215870180948 170.13771010218963 1.701365E+02 7.04595
11 13 12 0.642834 6.5014 5.8585664754352127 169.31889781635223 1.693097E+02 6.48228
12 14 13 0.602299 6.0173 5.4150006652298970 168.45212395170628 1.684507E+02 6.00211
13 15 14 0.565485 5.6004 5.0349147990368426 167.52695712681287 1.675182E+02 5.58817
14 16 15 0.531811 5.2377 4.7058894257994881 166.53633793507552 1.665361E+02 5.22764
15 17 16 0.501114 4.9191 4.4179855944598101 165.50236476425488 1.654994E+02 4.91082
16 18 17 0.473276 4.6371 4.1638244153036581 164.41021876572830 1.643968E+02 4.6302
17 19 18 0.447686 4.3858 3.9381138028177496 163.25022151200599 1.632335E+02 4.37992
18 20 19 0.423972 4.1603 3.7363282209883266 162.06388610039954 1.620472E+02 4.15531
19 21 20 0.402588 3.9569 3.5543124612166297 160.80745697539373 1.607789E+02 3.95261
20 22 21 0.382291 3.7725 3.3902093868383525 159.51573522487837 1.595143E+02 3.76877
21 23 22 0.364235 3.6045 3.2402651060331702 158.11384697362351 1.580872E+02 3.60127
22 24 23 0.346966 3.4509 3.1039343986311696 156.58838190524935 1.565881E+02 3.44802
23 25 24 0.331696 3.3098 2.9781040268157315 155.01811384272673 1.550091E+02 3.30728
24 26 25 0.317973 3.1798 2.8618271796433796 153.70192818748106 1.536727E+02 3.17759
25 27 26 0.303699 3.0597 2.7560014043324039 152.52931890863277 1.524879E+02 3.05768
26 28 27 0.288759 2.9483 2.6595411607012789 150.71358879186630 1.506764E+02 2.94649
27 29 28 0.27522 2.8447 2.5694801285417772 148.89549559387052 1.488731E+02 2.8431
28 30 29 0.266111 2.7482 2.4820887256317308 146.91111443748414 1.469029E+02 2.74673
29 31 30 0.25504 2.6580 2.4029597547795758 145.61784018581668 1.456176E+02 2.65667
30 32 31 0.248785 2.5735 2.3247145721552669 143.38346056772932 1.433659E+02 2.57233
31 33 32 0.240353 2.4943 2.2539470470553695 141.46855881615340 1.414060E+02 2.49318
32 34 33 0.23311 2.4197 2.1865897830436594 139.77967095322015 1.397740E+02 2.41876
33 35 34 0.224668 2.3496 2.1249318335030027 138.01571907095769 1.379951E+02 2.34865
34 36 35 0.221668 2.2833 2.0616321107410962 135.41027386225028 1.353606E+02 2.28249
35 37 36 0.213932 2.2207 2.0067681707280598 133.00736253167020 1.330057E+02 2.21996
36 38 37 0.208298 2.1615 1.9532017472485987 131.54865387999837 1.314691E+02 2.16076
37 39 38 0.204045 2.1053 1.9012553687273452 129.24310559903924 1.292430E+02 2.10464
38 40 39 0.201507 2.0520 1.8504929403183932 126.29970357644919 1.262048E+02 2.05135
39 41 40 0.19443 2.0013 1.8068703810880407 122.86758333952862 1.228657E+02 2.0007
40 42 41 0.190817 1.9530 1.7621834530056579 121.22487437867251 1.211661E+02 1.95249
41 43 42 0.17715 1.9070 1.7298498459429710 119.72936784361093 1.196908E+02 1.90655
42 44 43 0.170833 1.8632 1.6923674156852786 118.18798370760645 1.181854E+02 1.86272
43 45 44 0.158009 1.8213 1.6632909475523350 115.76967193174018 1.157108E+02 1.82086
44 46 45 0.137283 1.7812 1.6439166013395330 115.10056665017450 1.150118E+02 1.78085
45 47 46 0.161315 1.7429 1.5815845636899828 111.56522227195278 1.115493E+02 1.74255
46 48 47 0.155735 1.7062 1.5504654965029614 114.77155813913859 1.146503E+02 1.70586
47 49 48 0.223378 1.6710 1.4476218694458192 117.63235262579822 1.174933E+02 1.67069
48 50 49 0.217482 1.6372 1.4197176322199920 120.11875128734658 1.200937E+02 1.63694
