 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
    7     81.1782      8.1068    1.035834E+01
    8      0.2871     14.7490    4.151848E-02
    9     31.2525     19.7419    5.051237E+00
   10      0.2381     24.1429    4.253418E-02
   11     18.5778     28.2413    3.634808E+00
   12      0.1897     32.1640    4.034286E-02
   13     12.3646     35.9799    2.839901E+00
   14      0.1524     39.7314    3.759606E-02
   15      8.7138     43.4475    2.297887E+00
   16      0.1233     47.1492    3.461277E-02
   17      6.3895     50.8533    1.902367E+00
   18      0.0999     54.5736    3.144319E-02
   19      4.7635     58.3227    1.580339E+00
   20      0.0803     62.1122    2.800649E-02
   21      3.6912     65.9533    1.350192E+00
   22      0.0638     69.8579    2.442264E-02
   23      2.8834     73.8383    1.152822E+00
   24      0.0499     77.9081    2.079965E-02
   25      2.3334     82.0829    1.012322E+00
   26      0.0385     86.3805    1.735785E-02
   27      1.9630     90.8221    9.184221E-01
   28      0.0292     95.4338    1.415849E-02
   29      1.6969    100.2483    8.516627E-01
   30      0.0216    105.3077    1.120838E-02
   31      1.5596    110.6684    8.358207E-01
   32      0.0154    116.4096    8.515172E-03
   33      1.4815    122.6484    8.443759E-01
   34      0.0102    129.5720    5.986991E-03
   35      1.5635    137.5175    9.443122E-01
   36      0.0056    147.2235    3.477525E-03
   37      2.5530    161.2559    1.628814E+00
