#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 3 62.122893 47.426651 2249.287223 60.283353 nan nan 0 0 0
2 4 49.257351 43.837942 1921.765124 48.650864 nan nan 0 0 0
3 5 40.699876 40.127801 1610.240408 40.736987 16.306119 265.889508 0 0 0
4 6 34.490534 36.712478 1347.806029 34.911227 19.933758 397.354716 0 0 0
5 7 29.827946 33.731489 1137.813376 30.474683 20.710882 428.940619 0 0 0
6 8 26.257463 31.226910 975.119899 27.027039 20.586334 423.797141 0 0 0
7 9 23.495330 29.212712 853.382560 24.316651 20.187231 407.524310 0 0 0
8 10 21.385899 27.767614 771.040368 22.199944 19.834443 393.405112 0 0 0
9 11 19.681506 26.592078 707.138633 20.473088 19.472106 379.162893 0 0 0
10 12 18.342052 25.799919 665.635846 19.086256 19.235839 370.017519 0 0 0
11 13 17.254473 25.233524 636.730743 17.944295 19.074983 363.854994 0 0 0
12 14 16.296713 24.661526 608.190862 16.945004 18.866269 355.936091 0 0 0
13 15 15.531632 24.349937 592.919429 16.124228 18.779048 352.652645 0 0 0
14 16 14.837420 23.991175 575.576490 15.388243 18.647014 347.711128 0 0 0
15 17 14.131411 23.386670 546.936327 14.668405 18.346321 336.587510 0 0 0
16 18 13.505530 22.859661 522.564122 14.025079 18.061334 326.211793 0 0 0
17 19 12.957351 22.429244 503.070986 13.455509 17.818097 317.484594 0 0 0
18 20 12.256259 21.331838 455.047300 12.789404 17.176560 295.034225 0 0 0
19 21 11.533989 20.008920 400.356895 12.113366 16.363167 267.753243 0 0 0
20 22 10.951783 19.066368 363.526393 11.544276 15.730178 247.438488 0 0 0
21 23 10.421400 18.205571 331.442804 11.022463 15.143694 229.331475 0 0 0
22 24 9.963888 17.464138 304.996117 10.564048 14.617418 213.668906 0 0 0
23 25 9.507763 16.682075 278.291639 10.111966 14.075038 198.106705 0 0 0
24 26 9.117493 15.829880 250.585108 9.726349 13.484911 181.842819 0 0 0
25 27 8.730568 15.236178 232.141110 9.330628 13.027618 169.718824 0 0 0
26 28 8.407022 14.409981 207.647552 9.012638 12.472957 155.574653 0 0 0
27 29 7.991381 13.280713 176.377329 8.611701 11.726981 137.522088 0 0 0
28 30 7.753049 12.420755 154.275146 8.382014 11.155587 124.447122 0 0 0
29 31 7.455481 11.645970 135.628615 8.077592 10.569455 111.713385 0 0 0
30 32 7.271271 11.181293 125.021308 7.891371 10.245751 104.975408 0 0 0
31 33 7.065524 10.641413 113.239670 7.671416 9.803366 96.105986 0 0 0
32 34 6.897673 10.305420 106.201680 7.495885 9.549253 91.188237 0 0 0
33 35 6.747126 9.914977 98.306761 7.332763 9.222079 85.046748 0 0 0
34 36 6.703315 9.770531 95.463276 7.281618 9.138237 83.507376 0 0 0
35 37 6.626843 9.504434 90.334260 7.191869 8.920358 79.572785 0 0 0
36 38 6.531859 9.395708 88.279330 7.087320 8.855466 78.419273 0 0 0
37 39 6.472991 9.158685 83.881520 7.015665 8.653011 74.874598 0 0 0
38 40 6.402437 8.992951 80.873169 6.932032 8.520451 72.598083 0 0 0
39 41 6.345027 8.864620 78.581488 6.863442 8.423806 70.960508 0 0 0
40 42 6.582256 9.204566 84.724043 7.096728 8.798779 77.418518 0 0 0
41 43 6.422767 8.988748 80.797596 6.931704 8.604974 74.045579 0 0 0
42 44 6.249553 8.785055 77.177184 6.739518 8.418702 70.874537 0 0 0
43 45 6.524657 9.074578 82.347967 7.011951 8.736366 76.324088 0 0 0
44 46 6.771519 9.273499 85.997778 7.251429 8.953933 80.172908 0 0 0
45 47 6.869192 9.175618 84.191958 7.320918 8.880247 78.858783 0 0 0
46 48 7.017260 9.605127 92.258470 7.461561 9.315756 86.783313 0 0 0
47 49 7.847034 10.178477 103.601394 8.258998 9.903650 98.082274 0 0 0
48 50 7.607330 9.588062 91.930932 7.997973 9.332471 87.095013 0 0 0
