j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
1 24 12.5 6.29854 43.8060 37.507455313390452 2.2997594341708529 2.299759E+00 21.137
2 25 13.5 9.96732 33.6264 23.659083763427674 2.2653983577515344 2.265391E+00 19.6272
3 26 14.5 10.6791 28.0518 17.372736323478456 2.2332525320074579 2.233247E+00 18.3187
4 27 15.5 10.6017 24.3783 13.776604657724798 2.2021912953589053 2.202185E+00 17.1738
5 28 16.5 10.279 21.7160 11.436978480773421 2.1658286418419395 2.165805E+00 16.1636
6 29 17.5 9.86418 19.6699 9.8057154845771315 2.1389103919034707 2.138910E+00 15.2656
7 30 18.5 9.4282 18.0333 8.6050953095887301 2.1258947615335937 2.125894E+00 14.4622
8 31 19.5 9.03012 16.6855 7.6553788345647984 2.0874156244105024 2.087342E+00 13.739
9 32 20.5 8.63596 15.5509 6.9149417228677592 2.0581298847499716 2.058120E+00 13.0848
10 33 21.5 8.28193 14.5791 6.2971684455113968 2.0208987080668752 2.020898E+00 12.49
11 34 22.5 7.90406 13.7348 5.8307402564044777 2.0610615890361217 2.061003E+00 11.947
12 35 23.5 7.57521 12.9930 5.4177936294525155 2.0226238617580439 2.022602E+00 11.4492
13 36 24.5 7.22433 12.3348 5.1104740479896344 2.0544520503872978 2.054443E+00 10.9912
14 37 25.5 7.05381 11.7459 4.6920885673543200 1.9456053619712783 1.945600E+00 10.5685
15 38 26.5 6.7518 11.2153 4.4634993929943203 2.0459942487684546 2.045858E+00 10.1771
16 39 27.5 6.45823 10.7343 4.2760664967685571 2.0045813621772801 2.004520E+00 9.8136
17 40 28.5 6.26982 10.2958 4.0259783146135772 1.9973505467871269 1.997267E+00 9.4752
18 41 29.5 5.93752 9.8941 3.9565792593274822 2.2162040548573394 2.215948E+00 9.15936
19 42 30.5 5.74434 9.5246 3.7802561076130865 2.0108396495221936 2.010787E+00 8.8639
20 43 31.5 5.61294 9.1834 3.5704606674760671 2.1584379238659497 2.158296E+00 8.5869
21 44 32.5 5.48586 8.8671 3.3812384353707658 2.1334783826886885 2.133415E+00 8.32669
22 45 33.5 5.39331 8.5731 3.1797911236748266 2.2576607185091038 2.257571E+00 8.08179
23 46 34.5 5.19752 8.2989 3.1013777444049180 2.0535239489321824 2.053524E+00 7.85088
24 47 35.5 5.11121 8.0426 2.9313851582545718 2.0087621597870600 2.008533E+00 7.6328
25 48 36.5 4.98883 7.8023 2.8134747057482157 2.0579594301208894 2.057913E+00 7.42651
26 49 37.5 4.98137 7.5766 2.5952264935842408 2.1456883833186509 2.145681E+00 7.23108
27 50 38.5 4.86475 7.3641 2.4993465244484656 2.0259744013815735 2.025974E+00 7.04566
