#jbar dj cs10 cs15 cs10-cs15
0 0 4.165E+002 4.167E+002 -0.2
0.5 0 4.959E+000 4.952E+000 0.007
1 0 1.924E+001 1.909E+001 0.15
1.5 0 2.331E+000 2.320E+000 0.011
2 0 5.684E+000 5.645E+000 0.039
2.5 0 1.617E+000 1.632E+000 -0.015
3 0 2.548E+000 2.533E+000 0.015
3.5 0 1.253E+000 1.291E+000 -0.038
4 0 1.340E+000 1.323E+000 0.017
4.5 0 1.021E+000 1.048E+000 -0.027
5 0 7.770E-001 7.731E-001 0.0039
5.5 0 8.449E-001 8.575E-001 -0.0126
6 0 4.876E-001 4.935E-001 -0.0059
6.5 0 7.028E-001 7.052E-001 -0.0024
7 0 3.290E-001 3.441E-001 -0.0151
7.5 0 5.812E-001 5.764E-001 0.0048
8 0 2.386E-001 2.541E-001 -0.0155
8.5 0 4.846E-001 4.758E-001 0.0088
9 0 1.894E-001 2.052E-001 -0.0158
9.5 0 4.003E-001 3.927E-001 0.0076
10 0 1.540E-001 1.671E-001 -0.0131
10.5 0 3.348E-001 3.274E-001 0.0074
11 0 1.358E-001 1.467E-001 -0.0109
11.5 0 2.787E-001 2.731E-001 0.0056
12 0 1.202E-001 1.278E-001 -0.0076
12.5 0 2.344E-001 2.303E-001 0.0041
13 0 1.078E-001 1.114E-001 -0.0036
13.5 0 2.010E-001 1.953E-001 0.0057
14 0 1.011E-001 1.026E-001 -0.0015
14.5 0 1.730E-001 1.655E-001 0.0075
15 0 9.030E-002 9.071E-002 -0.00041
15.5 0 1.527E-001 1.450E-001 0.0077
16 0 7.732E-002 7.865E-002 -0.00133
16.5 0 1.316E-001 1.253E-001 0.0063
17 0 7.281E-002 7.343E-002 -0.00062
17.5 0 1.139E-001 1.087E-001 0.0052
18 0 5.984E-002 6.070E-002 -0.00086
18.5 0 1.014E-001 9.640E-002 0.005
19 0 4.108E-002 4.542E-002 -0.00434
19.5 0 9.093E-002 8.786E-002 0.00307
20 0 3.550E-002 4.086E-002 -0.00536
20.5 0 8.082E-002 7.765E-002 0.00317
21 0 2.911E-002 3.426E-002 -0.00515
21.5 0 5.821E-002 5.737E-002 0.00084
22 0 3.386E-002 3.663E-002 -0.00277
22.5 0 3.949E-002 3.488E-002 0.00461
23 0 2.150E-002 2.224E-002 -0.00074
23.5 0 2.997E-002 2.938E-002 0.00059
24 0 2.663E-002 2.849E-002 -0.00186
24.5 0 7.141E-003 6.403E-003 0.000738
0.5 1 1.487E+001 1.485E+001 0.02
1 1 4.550E+002 4.548E+002 0.2
1.5 1 1.015E+001 1.012E+001 0.03
2 1 3.449E+001 3.423E+001 0.26
2.5 1 5.802E+000 5.812E+000 -0.01
3 1 1.192E+001 1.184E+001 0.08
3.5 1 4.263E+000 4.345E+000 -0.082
4 1 5.711E+000 5.663E+000 0.048
4.5 1 3.391E+000 3.487E+000 -0.096
5 1 3.130E+000 3.100E+000 0.03
5.5 1 2.786E+000 2.844E+000 -0.058
6 1 1.878E+000 1.882E+000 -0.004
6.5 1 2.313E+000 2.335E+000 -0.022
7 1 1.216E+000 1.248E+000 -0.032
7.5 1 1.919E+000 1.916E+000 0.003
8 1 8.471E-001 8.929E-001 -0.0458
8.5 1 1.594E+000 1.574E+000 0.02
9 1 6.399E-001 6.868E-001 -0.0469
9.5 1 1.324E+000 1.300E+000 0.024
10 1 5.139E-001 5.574E-001 -0.0435
10.5 1 1.100E+000 1.078E+000 0.022
11 1 4.338E-001 4.696E-001 -0.0358
11.5 1 9.189E-001 8.993E-001 0.0196
12 1 3.839E-001 4.117E-001 -0.0278
12.5 1 7.679E-001 7.537E-001 0.0142
13 1 3.411E-001 3.581E-001 -0.017
13.5 1 6.524E-001 6.375E-001 0.0149
14 1 3.132E-001 3.204E-001 -0.0072
14.5 1 5.604E-001 5.410E-001 0.0194
15 1 2.877E-001 2.904E-001 -0.0027
15.5 1 4.874E-001 4.649E-001 0.0225
16 1 2.503E-001 2.534E-001 -0.0031
16.5 1 4.274E-001 4.058E-001 0.0216
17 1 2.244E-001 2.270E-001 -0.0026
17.5 1 3.669E-001 3.513E-001 0.0156
18 1 2.005E-001 2.022E-001 -0.0017
18.5 1 3.235E-001 3.067E-001 0.0168
19 1 1.502E-001 1.575E-001 -0.0073
19.5 1 2.908E-001 2.819E-001 0.0089
20 1 1.126E-001 1.266E-001 -0.014
20.5 1 2.497E-001 2.404E-001 0.0093
21 1 9.592E-002 1.103E-001 -0.01438
21.5 1 2.267E-001 2.237E-001 0.003
22 1 8.975E-002 1.041E-001 -0.01435
22.5 1 1.375E-001 1.290E-001 0.0085
23 1 7.700E-002 7.890E-002 -0.0019
23.5 1 1.177E-001 1.119E-001 0.0058
24 1 6.458E-002 7.220E-002 -0.00762
24.5 1 8.378E-002 7.989E-002 0.00389
25 1 3.677E-002 3.550E-002 0.00127
1 2 9.612E+001 9.538E+001 0.74
1.5 2 1.690E+001 1.685E+001 0.05
2 2 4.587E+002 4.585E+002 0.2
2.5 2 1.333E+001 1.334E+001 -0.01
3 2 4.067E+001 4.037E+001 0.3
3.5 2 8.363E+000 8.449E+000 -0.086
4 2 1.507E+001 1.496E+001 0.11
4.5 2 6.361E+000 6.489E+000 -0.128
5 2 7.514E+000 7.460E+000 0.054
5.5 2 5.129E+000 5.251E+000 -0.122
6 2 4.244E+000 4.223E+000 0.021
6.5 2 4.236E+000 4.301E+000 -0.065
7 2 2.617E+000 2.648E+000 -0.031
7.5 2 3.515E+000 3.531E+000 -0.016
8 2 1.741E+000 1.801E+000 -0.06
8.5 2 2.926E+000 2.907E+000 0.019
9 2 1.255E+000 1.332E+000 -0.077
9.5 2 2.427E+000 2.392E+000 0.035
10 2 9.652E-001 1.038E+000 -0.0728
10.5 2 2.022E+000 1.983E+000 0.039
11 2 7.970E-001 8.629E-001 -0.0659
11.5 2 1.681E+000 1.648E+000 0.033
12 2 6.814E-001 7.336E-001 -0.0522
12.5 2 1.408E+000 1.380E+000 0.028
13 2 6.049E-001 6.417E-001 -0.0368
13.5 2 1.186E+000 1.161E+000 0.025
14 2 5.473E-001 5.679E-001 -0.0206
14.5 2 1.011E+000 9.823E-001 0.0287
15 2 4.985E-001 5.078E-001 -0.0093
15.5 2 8.769E-001 8.422E-001 0.0347
