#jbar cs10-cs15
0 -0.2
0.5 0.007
1 0.15
1.5 0.011
2 0.039
2.5 -0.015
3 0.015
3.5 -0.038
4 0.017
4.5 -0.027
5 0.0039
5.5 -0.0126
6 -0.0059
6.5 -0.0024
7 -0.0151
7.5 0.0048
8 -0.0155
8.5 0.0088
9 -0.0158
9.5 0.0076
10 -0.0131
10.5 0.0074
11 -0.0109
11.5 0.0056
12 -0.0076
12.5 0.0041
13 -0.0036
13.5 0.0057
14 -0.0015
14.5 0.0075
15 -0.00041
15.5 0.0077
16 -0.00133
16.5 0.0063
17 -0.00062
17.5 0.0052
18 -0.00086
18.5 0.005
19 -0.00434
19.5 0.00307
20 -0.00536
20.5 0.00317
21 -0.00515
21.5 0.00084
22 -0.00277
22.5 0.00461
23 -0.00074
23.5 0.00059
24 -0.00186
24.5 0.000738
