 -              0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50
  0    4.165E+002  4.959E+000  1.924E+001  2.331E+000  5.684E+000  1.617E+000  2.548E+000  1.253E+000  1.340E+000  1.021E+000  7.770E-001  8.449E-001  4.876E-001  7.028E-001  3.290E-001  5.812E-001  2.386E-001  4.846E-001  1.894E-001  4.003E-001  1.540E-001  3.348E-001  1.358E-001  2.787E-001  1.202E-001  2.344E-001  1.078E-001  2.010E-001  1.011E-001  1.730E-001  9.030E-002  1.527E-001  7.732E-002  1.316E-001  7.281E-002  1.139E-001  5.984E-002  1.014E-001  4.108E-002  9.093E-002  3.550E-002  8.082E-002  2.911E-002  5.821E-002  3.386E-002  3.949E-002  2.150E-002  2.997E-002  2.663E-002  7.141E-003  1.024E-002
  1    1.487E+001  4.550E+002  1.015E+001  3.449E+001  5.802E+000  1.192E+001  4.263E+000  5.711E+000  3.391E+000  3.130E+000  2.786E+000  1.878E+000  2.313E+000  1.216E+000  1.919E+000  8.471E-001  1.594E+000  6.399E-001  1.324E+000  5.139E-001  1.100E+000  4.338E-001  9.189E-001  3.839E-001  7.679E-001  3.411E-001  6.524E-001  3.132E-001  5.604E-001  2.877E-001  4.874E-001  2.503E-001  4.274E-001  2.244E-001  3.669E-001  2.005E-001  3.235E-001  1.502E-001  2.908E-001  1.126E-001  2.497E-001  9.592E-002  2.267E-001  8.975E-002  1.375E-001  7.700E-002  1.177E-001  6.458E-002  8.378E-002  3.677E-002  1.943E-002
  2    9.612E+001  1.690E+001  4.587E+002  1.333E+001  4.067E+001  8.363E+000  1.507E+001  6.361E+000  7.514E+000  5.129E+000  4.244E+000  4.236E+000  2.617E+000  3.515E+000  1.741E+000  2.926E+000  1.255E+000  2.427E+000  9.652E-001  2.022E+000  7.970E-001  1.681E+000  6.814E-001  1.408E+000  6.049E-001  1.186E+000  5.473E-001  1.011E+000  4.985E-001  8.769E-001  4.467E-001  7.599E-001  4.000E-001  6.624E-001  3.511E-001  5.774E-001  2.908E-001  5.100E-001  2.202E-001  4.535E-001  1.847E-001  3.874E-001  1.527E-001  2.975E-001  1.598E-001  2.044E-001  1.236E-001  1.572E-001  1.245E-001  4.591E-002  5.210E-002
  3    1.628E+001  8.035E+001  1.865E+001  4.593E+002  1.564E+001  4.378E+001  1.037E+001  1.688E+001  8.043E+000  8.649E+000  6.541E+000  5.001E+000  5.410E+000  3.155E+000  4.505E+000  2.159E+000  3.747E+000  1.585E+000  3.118E+000  1.251E+000  2.601E+000  1.047E+000  2.168E+000  9.013E-001  1.828E+000  8.122E-001  1.545E+000  7.317E-001  1.329E+000  6.554E-001  1.147E+000  5.945E-001  9.991E-001  5.276E-001  8.703E-001  4.355E-001  7.680E-001  3.584E-001  6.809E-001  2.920E-001  5.780E-001  2.319E-001  4.964E-001  2.027E-001  3.716E-001  1.837E-001  2.643E-001  1.511E-001  2.268E-001  8.542E-002  5.916E-002
  4    5.100E+001  1.736E+001  7.304E+001  2.008E+001  4.592E+002  1.743E+001  4.557E+001  1.195E+001  1.803E+001  9.393E+000  9.433E+000  7.671E+000  5.561E+000  6.371E+000  3.591E+000  5.307E+000  2.500E+000  4.427E+000  1.878E+000  3.690E+000  1.506E+000  3.084E+000  1.269E+000  2.586E+000  1.109E+000  2.188E+000  9.974E-001  1.863E+000  8.865E-001  1.600E+000  8.035E-001  1.384E+000  7.257E-001  1.204E+000  6.086E-001  1.062E+000  5.160E-001  9.309E-001  4.170E-001  8.028E-001  3.781E-001  6.620E-001  2.900E-001  5.494E-001  2.776E-001  3.881E-001  2.559E-001  3.178E-001  2.043E-001  1.209E-001  9.975E-002
  5    1.770E+001  4.353E+001  1.833E+001  6.860E+001  2.127E+001  4.589E+002  1.882E+001  4.673E+001  1.320E+001  1.884E+001  1.046E+001  1.002E+001  8.587E+000  6.020E+000  7.141E+000  3.948E+000  5.967E+000  2.804E+000  4.986E+000  2.139E+000  4.165E+000  1.729E+000  3.500E+000  1.479E+000  2.944E+000  1.293E+000  2.508E+000  1.151E+000  2.133E+000  1.031E+000  1.836E+000  9.305E-001  1.600E+000  8.071E-001  1.390E+000  6.724E-001  1.239E+000  5.706E-001  1.071E+000  4.907E-001  8.962E-001  4.031E-001  7.517E-001  3.129E-001  6.439E-001  2.958E-001  4.285E-001  2.361E-001  4.216E-001  1.474E-001  1.346E-001
  6    3.292E+001  1.836E+001  3.898E+001  1.916E+001  6.560E+001  2.220E+001  4.587E+002  1.989E+001  4.756E+001  1.416E+001  1.946E+001  1.131E+001  1.052E+001  9.312E+000  6.401E+000  7.771E+000  4.269E+000  6.508E+000  3.075E+000  5.451E+000  2.368E+000  4.577E+000  1.942E+000  3.855E+000  1.664E+000  3.265E+000  1.446E+000  2.780E+000  1.295E+000  2.367E+000  1.163E+000  2.048E+000  1.010E+000  1.781E+000  8.761E-001  1.559E+000  7.583E-001  1.360E+000  6.240E-001  1.139E+000  6.088E-001  9.391E-001  4.644E-001  8.026E-001  4.147E-001  5.857E-001  3.877E-001  5.360E-001  2.832E-001  2.571E-001  1.621E-001
  7    1.864E+001  2.832E+001  1.894E+001  3.593E+001  1.980E+001  6.347E+001  2.291E+001  4.586E+002  2.070E+001  4.821E+001  1.492E+001  1.999E+001  1.197E+001  1.093E+001  9.899E+000  6.744E+000  8.283E+000  4.557E+000  6.955E+000  3.313E+000  5.851E+000  2.586E+000  4.927E+000  2.130E+000  4.176E+000  1.815E+000  3.535E+000  1.587E+000  3.014E+000  1.423E+000  2.585E+000  1.233E+000  2.239E+000  1.073E+000  1.956E+000  9.307E-001  1.706E+000  8.022E-001  1.468E+000  6.773E-001  1.231E+000  6.080E-001  1.021E+000  4.584E-001  9.248E-001  4.068E-001  6.269E-001  3.291E-001  6.746E-001  2.381E-001  2.724E-001
  8    2.252E+001  1.901E+001  2.529E+001  1.936E+001  3.380E+001  2.027E+001  6.191E+001  2.341E+001  4.585E+002  2.133E+001  4.877E+001  1.550E+001  2.043E+001  1.250E+001  1.130E+001  1.037E+001  7.052E+000  8.703E+000  4.808E+000  7.341E+000  3.540E+000  6.193E+000  2.778E+000  5.243E+000  2.285E+000  4.447E+000  1.957E+000  3.767E+000  1.716E+000  3.227E+000  1.505E+000  2.770E+000  1.290E+000  2.403E+000  1.158E+000  2.072E+000  1.020E+000  1.777E+000  8.813E-001  1.499E+000  8.178E-001  1.238E+000  7.061E-001  1.057E+000  5.788E-001  8.079E-001  5.155E-001  8.143E-001  3.755E-001  4.781E-001  2.453E-001
  9    1.914E+001  1.956E+001  1.924E+001  2.320E+001  1.962E+001  3.225E+001  2.055E+001  6.075E+001  2.377E+001  4.586E+002  2.178E+001  4.925E+001  1.595E+001  2.084E+001  1.292E+001  1.164E+001  1.076E+001  7.321E+000  9.065E+000  5.050E+000  7.669E+000  3.740E+000  6.501E+000  2.935E+000  5.512E+000  2.425E+000  4.674E+000  2.084E+000  3.987E+000  1.785E+000  3.423E+000  1.548E+000  2.939E+000  1.349E+000  2.568E+000  1.195E+000  2.168E+000  1.050E+000  1.890E+000  8.825E-001  1.605E+000  8.156E-001  1.315E+000  6.464E-001  1.228E+000  5.465E-001  8.518E-001  4.494E-001  9.863E-001  3.544E-001  4.930E-001
 10    1.605E+001  1.919E+001  1.755E+001  1.933E+001  2.171E+001  1.972E+001  3.112E+001  2.072E+001  5.990E+001  2.400E+001  4.588E+002  2.213E+001  4.969E+001  1.630E+001  2.120E+001  1.325E+001  1.193E+001  1.109E+001  7.579E+000  9.372E+000  5.261E+000  7.967E+000  3.903E+000  6.763E+000  3.081E+000  5.738E+000  2.554E+000  4.886E+000  2.161E+000  4.171E+000  1.846E+000  3.591E+000  1.617E+000  3.060E+000  1.455E+000  2.612E+000  1.307E+000  2.222E+000  1.174E+000  1.881E+000  1.038E+000  1.562E+000  9.727E-001  1.347E+000  7.670E-001  1.103E+000  6.803E-001  1.144E+000  4.814E-001  7.758E-001  3.467E-001
 11    1.905E+001  1.412E+001  1.911E+001  1.613E+001  1.927E+001  2.063E+001  1.973E+001  3.030E+001  2.077E+001  5.923E+001  2.415E+001  4.590E+002  2.238E+001  5.009E+001  1.657E+001  2.152E+001  1.354E+001  1.221E+001  1.137E+001  7.805E+000  9.651E+000  5.432E+000  8.218E+000  4.052E+000  6.982E+000  3.211E+000  5.950E+000  2.621E+000  5.088E+000  2.197E+000  4.340E+000  1.892E+000  3.747E+000  1.654E+000  3.187E+000  1.474E+000  2.684E+000  1.298E+000  2.370E+000  1.138E+000  1.999E+000  1.030E+000  1.657E+000  8.497E-001  1.569E+000  7.545E-001  1.135E+000  6.199E-001  1.343E+000  4.830E-001  7.852E-001
 12    1.190E+001  1.883E+001  1.279E+001  1.890E+001  1.513E+001  1.914E+001  1.987E+001  1.965E+001  2.967E+001  2.077E+001  5.874E+001  2.424E+001  4.593E+002  2.257E+001  5.045E+001  1.681E+001  2.183E+001  1.379E+001  1.246E+001  1.162E+001  7.990E+000  9.888E+000  5.594E+000  8.427E+000  4.186E+000  7.186E+000  3.287E+000  6.138E+000  2.683E+000  5.243E+000  2.264E+000  4.477E+000  1.992E+000  3.788E+000  1.794E+000  3.198E+000  1.620E+000  2.724E+000  1.477E+000  2.290E+000  1.300E+000  1.925E+000  1.255E+000  1.742E+000  9.573E-001  1.509E+000  9.081E-001  1.510E+000  6.098E-001  1.116E+000  4.614E-001
 13    1.846E+001  1.065E+001  1.848E+001  1.186E+001  1.864E+001  1.444E+001  1.893E+001  1.929E+001  1.952E+001  2.919E+001  2.072E+001  5.835E+001  2.428E+001  4.596E+002  2.274E+001  5.079E+001  1.700E+001  2.209E+001  1.401E+001  1.266E+001  1.183E+001  8.159E+000  1.008E+001  5.738E+000  8.623E+000  4.258E+000  7.381E+000  3.319E+000  6.312E+000  2.724E+000  5.383E+000  2.298E+000  4.609E+000  1.998E+000  3.883E+000  1.787E+000  3.297E+000  1.577E+000  2.907E+000  1.416E+000  2.444E+000  1.276E+000  2.034E+000  1.114E+000  1.993E+000  9.903E-001  1.508E+000  8.525E-001  1.726E+000  6.282E-001  1.118E+000
 14    9.238E+000  1.797E+001  9.787E+000  1.811E+001  1.124E+001  1.831E+001  1.392E+001  1.869E+001  1.887E+001  1.936E+001  2.883E+001  2.064E+001  5.803E+001  2.432E+001  4.600E+002  2.287E+001  5.109E+001  1.718E+001  2.231E+001  1.419E+001  1.285E+001  1.201E+001  8.313E+000  1.026E+001  5.817E+000  8.801E+000  4.326E+000  7.538E+000  3.393E+000  6.432E+000  2.814E+000  5.445E+000  2.459E+000  4.606E+000  2.157E+000  3.889E+000  1.996E+000  3.269E+000  1.796E+000  2.786E+000  1.574E+000  2.416E+000  1.586E+000  2.239E+000  1.160E+000  2.020E+000  1.158E+000  1.893E+000  7.758E-001  1.490E+000  6.029E-001
 15    1.736E+001  8.440E+000  1.750E+001  9.233E+000  1.767E+001  1.077E+001  1.797E+001  1.355E+001  1.843E+001  1.855E+001  1.918E+001  2.853E+001  2.057E+001  5.779E+001  2.434E+001  4.604E+002  2.300E+001  5.134E+001  1.733E+001  2.252E+001  1.434E+001  1.302E+001  1.217E+001  8.399E+000  1.044E+001  5.861E+000  8.968E+000  4.358E+000  7.671E+000  3.431E+000  6.540E+000  2.819E+000  5.547E+000  2.428E+000  4.719E+000  2.147E+000  4.038E+000  1.928E+000  3.484E+000  1.712E+000  2.988E+000  1.580E+000  2.476E+000  1.469E+000  2.511E+000  1.211E+000  1.968E+000  1.118E+000  2.126E+000  8.190E-001  1.486E+000
 16    7.552E+000  1.682E+001  7.949E+000  1.697E+001  8.819E+000  1.725E+001  1.046E+001  1.762E+001  1.327E+001  1.816E+001  1.828E+001  1.901E+001  2.830E+001  2.049E+001  5.757E+001  2.437E+001  4.608E+002  2.311E+001  5.157E+001  1.744E+001  2.270E+001  1.448E+001  1.312E+001  1.233E+001  8.472E+000  1.057E+001  5.955E+000  9.084E+000  4.442E+000  7.725E+000  3.592E+000  6.538E+000  3.024E+000  5.545E+000  2.617E+000  4.673E+000  2.438E+000  3.950E+000  2.145E+000  3.431E+000  1.874E+000  3.093E+000  1.948E+000  2.765E+000  1.406E+000  2.605E+000  1.398E+000  2.305E+000  9.714E-001  1.915E+000  8.034E-001
 17    1.618E+001  7.124E+000  1.622E+001  7.575E+000  1.647E+001  8.550E+000  1.682E+001  1.023E+001  1.728E+001  1.304E+001  1.793E+001  1.809E+001  1.885E+001  2.809E+001  2.042E+001  5.736E+001  2.438E+001  4.612E+002  2.319E+001  5.179E+001  1.755E+001  2.281E+001  1.461E+001  1.318E+001  1.247E+001  8.515E+000  1.069E+001  5.991E+000  9.171E+000  4.465E+000  7.808E+000  3.554E+000  6.648E+000  3.000E+000  5.723E+000  2.613E+000  4.871E+000  2.363E+000  4.180E+000  2.080E+000  3.622E+000  1.948E+000  3.074E+000  1.839E+000  3.062E+000  1.456E+000  2.497E+000  1.392E+000  2.562E+000  1.071E+000  1.906E+000
 18    6.645E+000  1.549E+001  6.781E+000  1.566E+001  7.345E+000  1.598E+001  8.355E+000  1.641E+001  1.003E+001  1.697E+001  1.288E+001  1.769E+001  1.791E+001  1.872E+001  2.788E+001  2.035E+001  5.719E+001  2.437E+001  4.617E+002  2.327E+001  5.192E+001  1.766E+001  2.290E+001  1.473E+001  1.329E+001  1.256E+001  8.613E+000  1.073E+001  6.147E+000  9.167E+000  4.697E+000  7.793E+000  3.785E+000  6.616E+000  3.261E+000  5.622E+000  2.945E+000  4.823E+000  2.541E+000  4.310E+000  2.243E+000  3.804E+000  2.323E+000  3.367E+000  1.675E+000  3.232E+000  1.669E+000  2.785E+000  1.186E+000  2.409E+000  1.073E+000
