 -              0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50
  0    4.167E+002  4.952E+000  1.909E+001  2.320E+000  5.645E+000  1.632E+000  2.533E+000  1.291E+000  1.323E+000  1.048E+000  7.731E-001  8.575E-001  4.935E-001  7.052E-001  3.441E-001  5.764E-001  2.541E-001  4.758E-001  2.052E-001  3.927E-001  1.671E-001  3.274E-001  1.467E-001  2.731E-001  1.278E-001  2.303E-001  1.114E-001  1.953E-001  1.026E-001  1.655E-001  9.071E-002  1.450E-001  7.865E-002  1.253E-001  7.343E-002  1.087E-001  6.070E-002  9.640E-002  4.542E-002  8.786E-002  4.086E-002  7.765E-002  3.426E-002  5.737E-002  3.663E-002  3.488E-002  2.224E-002  2.938E-002  2.849E-002  6.403E-003  1.017E-002
  1    1.485E+001  4.548E+002  1.012E+001  3.423E+001  5.812E+000  1.184E+001  4.345E+000  5.663E+000  3.487E+000  3.100E+000  2.844E+000  1.882E+000  2.335E+000  1.248E+000  1.916E+000  8.929E-001  1.574E+000  6.868E-001  1.300E+000  5.574E-001  1.078E+000  4.696E-001  8.993E-001  4.117E-001  7.537E-001  3.581E-001  6.375E-001  3.204E-001  5.410E-001  2.904E-001  4.649E-001  2.534E-001  4.058E-001  2.270E-001  3.513E-001  2.022E-001  3.067E-001  1.575E-001  2.819E-001  1.266E-001  2.404E-001  1.103E-001  2.237E-001  1.041E-001  1.290E-001  7.890E-002  1.119E-001  7.220E-002  7.989E-002  3.550E-002  1.635E-002
  2    9.538E+001  1.685E+001  4.585E+002  1.334E+001  4.037E+001  8.449E+000  1.496E+001  6.489E+000  7.460E+000  5.251E+000  4.223E+000  4.301E+000  2.648E+000  3.531E+000  1.801E+000  2.907E+000  1.332E+000  2.392E+000  1.038E+000  1.983E+000  8.629E-001  1.648E+000  7.336E-001  1.380E+000  6.417E-001  1.161E+000  5.679E-001  9.823E-001  5.078E-001  8.422E-001  4.513E-001  7.245E-001  4.054E-001  6.307E-001  3.530E-001  5.513E-001  3.012E-001  4.868E-001  2.381E-001  4.381E-001  2.111E-001  3.692E-001  1.743E-001  2.924E-001  1.742E-001  1.845E-001  1.285E-001  1.520E-001  1.346E-001  4.225E-002  5.217E-002
  3    1.621E+001  7.974E+001  1.866E+001  4.591E+002  1.575E+001  4.343E+001  1.049E+001  1.676E+001  8.186E+000  8.609E+000  6.668E+000  5.009E+000  5.469E+000  3.213E+000  4.505E+000  2.249E+000  3.716E+000  1.687E+000  3.070E+000  1.346E+000  2.550E+000  1.129E+000  2.127E+000  9.616E-001  1.788E+000  8.530E-001  1.505E+000  7.543E-001  1.286E+000  6.670E-001  1.101E+000  6.028E-001  9.522E-001  5.307E-001  8.332E-001  4.461E-001  7.315E-001  3.781E-001  6.618E-001  3.187E-001  5.533E-001  2.610E-001  4.832E-001  2.315E-001  3.539E-001  1.917E-001  2.510E-001  1.718E-001  2.151E-001  8.508E-002  5.251E-002
  4    5.065E+001  1.739E+001  7.251E+001  2.022E+001  4.590E+002  1.757E+001  4.522E+001  1.208E+001  1.793E+001  9.531E+000  9.428E+000  7.788E+000  5.595E+000  6.413E+000  3.675E+000  5.296E+000  2.612E+000  4.384E+000  2.000E+000  3.631E+000  1.614E+000  3.027E+000  1.358E+000  2.533E+000  1.172E+000  2.131E+000  1.041E+000  1.809E+000  9.122E-001  1.547E+000  8.181E-001  1.327E+000  7.332E-001  1.151E+000  6.166E-001  1.016E+000  5.404E-001  8.944E-001  4.490E-001  7.708E-001  4.149E-001  6.285E-001  3.192E-001  5.339E-001  3.047E-001  3.588E-001  2.667E-001  3.027E-001  2.271E-001  1.144E-001  1.014E-001
  5    1.787E+001  4.324E+001  1.852E+001  6.806E+001  2.145E+001  4.587E+002  1.896E+001  4.640E+001  1.331E+001  1.878E+001  1.057E+001  1.005E+001  8.685E+000  6.081E+000  7.173E+000  4.052E+000  5.946E+000  2.933E+000  4.934E+000  2.273E+000  4.102E+000  1.844E+000  3.431E+000  1.570E+000  2.875E+000  1.358E+000  2.438E+000  1.198E+000  2.069E+000  1.061E+000  1.775E+000  9.445E-001  1.535E+000  8.184E-001  1.335E+000  6.950E-001  1.189E+000  6.029E-001  1.036E+000  5.290E-001  8.548E-001  4.312E-001  7.255E-001  3.550E-001  6.110E-001  3.114E-001  4.068E-001  2.768E-001  3.996E-001  1.531E-001  1.245E-001
  6    3.272E+001  1.871E+001  3.868E+001  1.940E+001  6.510E+001  2.237E+001  4.585E+002  2.002E+001  4.728E+001  1.425E+001  1.943E+001  1.140E+001  1.057E+001  9.400E+000  6.479E+000  7.794E+000  4.387E+000  6.480E+000  3.214E+000  5.395E+000  2.505E+000  4.502E+000  2.057E+000  3.771E+000  1.757E+000  3.180E+000  1.516E+000  2.701E+000  1.347E+000  2.296E+000  1.191E+000  1.978E+000  1.031E+000  1.716E+000  8.955E-001  1.499E+000  7.962E-001  1.306E+000  6.696E-001  1.088E+000  6.480E-001  8.940E-001  4.903E-001  7.682E-001  4.550E-001  5.457E-001  4.059E-001  5.091E-001  3.238E-001  2.480E-001  1.681E-001
  7    1.921E+001  2.808E+001  1.932E+001  3.568E+001  2.002E+001  6.303E+001  2.305E+001  4.585E+002  2.080E+001  4.796E+001  1.498E+001  1.999E+001  1.205E+001  1.099E+001  9.979E+000  6.833E+000  8.300E+000  4.681E+000  6.925E+000  3.453E+000  5.787E+000  2.723E+000  4.836E+000  2.246E+000  4.076E+000  1.913E+000  3.445E+000  1.663E+000  2.927E+000  1.474E+000  2.512E+000  1.267E+000  2.166E+000  1.102E+000  1.893E+000  9.663E-001  1.643E+000  8.440E-001  1.408E+000  7.236E-001  1.174E+000  6.330E-001  9.818E-001  5.026E-001  8.673E-001  4.406E-001  5.926E-001  3.928E-001  6.418E-001  2.527E-001  2.574E-001
  8    2.224E+001  1.955E+001  2.511E+001  1.970E+001  3.361E+001  2.044E+001  6.154E+001  2.351E+001  4.585E+002  2.138E+001  4.855E+001  1.553E+001  2.045E+001  1.257E+001  1.138E+001  1.045E+001  7.146E+000  8.720E+000  4.929E+000  7.304E+000  3.676E+000  6.112E+000  2.913E+000  5.136E+000  2.404E+000  4.338E+000  2.059E+000  3.671E+000  1.791E+000  3.134E+000  1.559E+000  2.693E+000  1.339E+000  2.337E+000  1.193E+000  2.000E+000  1.074E+000  1.705E+000  9.276E-001  1.430E+000  8.668E-001  1.179E+000  7.201E-001  1.000E+000  6.251E-001  7.579E-001  5.475E-001  7.721E-001  4.325E-001  4.656E-001  2.579E-001
  9    1.964E+001  1.938E+001  1.970E+001  2.309E+001  1.991E+001  3.215E+001  2.068E+001  6.044E+001  2.383E+001  4.586E+002  2.181E+001  4.905E+001  1.597E+001  2.086E+001  1.298E+001  1.172E+001  1.083E+001  7.410E+000  9.076E+000  5.164E+000  7.616E+000  3.873E+000  6.405E+000  3.071E+000  5.400E+000  2.552E+000  4.563E+000  2.185E+000  3.885E+000  1.867E+000  3.336E+000  1.617E+000  2.863E+000  1.408E+000  2.501E+000  1.245E+000  2.090E+000  1.097E+000  1.813E+000  9.365E-001  1.529E+000  8.433E-001  1.258E+000  6.872E-001  1.145E+000  6.044E-001  8.026E-001  5.351E-001  9.382E-001  3.752E-001  4.707E-001
