 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
    1  23106.2666      5.7392    2.499430E+03
    2    166.3937     12.8678    2.999831E+01
    3   1402.7210     19.1373    3.540457E+02
    4     43.8650     25.2394    1.423478E+01
    5    299.5350     31.3195    1.188038E+02
    6     25.4904     37.4410    1.194841E+01
    7    128.7982     43.6452    6.966121E+01
    8     19.3001     49.9673    1.183037E+01
    9     71.7552     56.4427    4.915831E+01
   10     16.5684     63.1108    1.254555E+01
   11     50.3336     70.0187    4.174225E+01
   12     15.1872     77.2259    1.369013E+01
   13     40.0192     84.8103    3.896029E+01
   14     13.1437     92.8804    1.374376E+01
   15     33.7877    101.5959    3.776681E+01
   16     13.4432    111.2116    1.599582E+01
   17     34.0651    122.1860    4.299002E+01
   18     13.7679    135.5267    1.836790E+01
   19     50.6839    154.7606    7.127293E+01
